Implementation smell,Namespace,Class,File,Method,Description
Magic Number,EmbedMonoMacInEto,MainForm,C:\research\architectureSmells\repos\picoe_Eto\samples\MonoMac\EmbedMonoMacInEto\MainForm.cs,MainForm,The following statement contains a magic number: Content = new TableLayout  			{  				Padding = new Padding(10)'  				Spacing = new Size(5' 5)'  				Rows =  				{  					nativeControl'  					null'  					new TableLayout(new TableRow(null' new Button { Text = "An Eto.Forms button" }))'  				}  			};
Magic Number,EmbedMonoMacInEto,MainForm,C:\research\architectureSmells\repos\picoe_Eto\samples\MonoMac\EmbedMonoMacInEto\MainForm.cs,MainForm,The following statement contains a magic number: Content = new TableLayout  			{  				Padding = new Padding(10)'  				Spacing = new Size(5' 5)'  				Rows =  				{  					nativeControl'  					null'  					new TableLayout(new TableRow(null' new Button { Text = "An Eto.Forms button" }))'  				}  			};
Magic Number,EmbedMonoMacInEto,MainForm,C:\research\architectureSmells\repos\picoe_Eto\samples\MonoMac\EmbedMonoMacInEto\MainForm.cs,MainForm,The following statement contains a magic number: Content = new TableLayout  			{  				Padding = new Padding(10)'  				Spacing = new Size(5' 5)'  				Rows =  				{  					nativeControl'  					null'  					new TableLayout(new TableRow(null' new Button { Text = "An Eto.Forms button" }))'  				}  			};
