Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,Trinity.Encore.AccountService,Trinity.Encore.AccountService,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Trinity.Encore.AccountService' Trinity.Encore.AccountService.Accounts' Trinity.Encore.AccountService.Services,Trinity.Encore.AccountService.AccountApplication' Trinity.Encore.AccountService.Program' Trinity.Encore.AccountService.Accounts.Account' Trinity.Encore.AccountService.Accounts.AccountManager' Trinity.Encore.AccountService.Services.AccountService
Cyclic Dependency,Trinity.Encore.AccountService,Trinity.Encore.AccountService,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Trinity.Encore.AccountService' Trinity.Encore.AccountService.Bans' Trinity.Encore.AccountService.Accounts' Trinity.Encore.AccountService.Services,Trinity.Encore.AccountService.AccountApplication' Trinity.Encore.AccountService.Program' Trinity.Encore.AccountService.Bans.AccountBan' Trinity.Encore.AccountService.Bans.BanManager' Trinity.Encore.AccountService.Accounts.Account' Trinity.Encore.AccountService.Accounts.AccountManager' Trinity.Encore.AccountService.Services.AccountService
Cyclic Dependency,Trinity.Encore.AccountService,Trinity.Encore.AccountService,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Trinity.Encore.AccountService' Trinity.Encore.AccountService.Bans' Trinity.Encore.AccountService.Database' Trinity.Encore.AccountService.Accounts' Trinity.Encore.AccountService.Services,Trinity.Encore.AccountService.AccountApplication' Trinity.Encore.AccountService.Program' Trinity.Encore.AccountService.Bans.AccountBan' Trinity.Encore.AccountService.Bans.BanManager' Trinity.Encore.AccountService.Database.AccountBanMapping' Trinity.Encore.AccountService.Database.AccountRecord' Trinity.Encore.AccountService.Accounts.Account' Trinity.Encore.AccountService.Accounts.AccountManager' Trinity.Encore.AccountService.Services.AccountService
Cyclic Dependency,Trinity.Encore.AccountService,Trinity.Encore.AccountService.Accounts,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Trinity.Encore.AccountService.Accounts' Trinity.Encore.AccountService.Bans,Trinity.Encore.AccountService.Accounts.Account' Trinity.Encore.AccountService.Accounts.AccountManager' Trinity.Encore.AccountService.Bans.AccountBan' Trinity.Encore.AccountService.Bans.BanManager
Cyclic Dependency,Trinity.Encore.AccountService,Trinity.Encore.AccountService.Accounts,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Trinity.Encore.AccountService.Accounts' Trinity.Encore.AccountService.Bans' Trinity.Encore.AccountService.Database,Trinity.Encore.AccountService.Accounts.Account' Trinity.Encore.AccountService.Accounts.AccountManager' Trinity.Encore.AccountService.Bans.AccountBan' Trinity.Encore.AccountService.Bans.BanManager' Trinity.Encore.AccountService.Database.AccountBanMapping' Trinity.Encore.AccountService.Database.AccountRecord
Cyclic Dependency,Trinity.Encore.AccountService,Trinity.Encore.AccountService.Accounts,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Trinity.Encore.AccountService.Accounts' Trinity.Encore.AccountService.Bans' Trinity.Encore.AccountService.Database' Trinity.Encore.AccountService.Bans,Trinity.Encore.AccountService.Accounts.Account' Trinity.Encore.AccountService.Accounts.AccountManager' Trinity.Encore.AccountService.Bans.AccountBan' Trinity.Encore.AccountService.Bans.BanManager' Trinity.Encore.AccountService.Database.AccountBanMapping' Trinity.Encore.AccountService.Database.AccountRecord
Cyclic Dependency,Trinity.Encore.AccountService,Trinity.Encore.AccountService.Bans,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Trinity.Encore.AccountService.Bans' Trinity.Encore.AccountService.Database,Trinity.Encore.AccountService.Bans.AccountBan' Trinity.Encore.AccountService.Bans.BanManager' Trinity.Encore.AccountService.Database.AccountBanMapping' Trinity.Encore.AccountService.Database.AccountRecord
Cyclic Dependency,Trinity.Encore.AccountService,Trinity.Encore.AccountService.Bans,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Trinity.Encore.AccountService.Bans' Trinity.Encore.AccountService.Services' Trinity.Encore.AccountService' Trinity.Encore.AccountService.Database.Implementation' Trinity.Encore.AccountService.Accounts,Trinity.Encore.AccountService.Bans.AccountBan' Trinity.Encore.AccountService.Bans.BanManager' Trinity.Encore.AccountService.Services.AccountService' Trinity.Encore.AccountService.AccountApplication' Trinity.Encore.AccountService.Program' Trinity.Encore.AccountService.Database.Implementation.AccountDatabaseRecord' Trinity.Encore.AccountService.Accounts.Account' Trinity.Encore.AccountService.Accounts.AccountManager
Cyclic Dependency,Trinity.Encore.AccountService,Trinity.Encore.AccountService.Database.Implementation,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Trinity.Encore.AccountService.Database.Implementation' Trinity.Encore.AccountService.Accounts' Trinity.Encore.AccountService.Services' Trinity.Encore.AccountService,Trinity.Encore.AccountService.Database.Implementation.AccountDatabaseRecord' Trinity.Encore.AccountService.Accounts.Account' Trinity.Encore.AccountService.Accounts.AccountManager' Trinity.Encore.AccountService.Services.AccountService' Trinity.Encore.AccountService.AccountApplication' Trinity.Encore.AccountService.Program
Unstable Dependency,Trinity.Encore.AccountService,Trinity.Encore.AccountService,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Trinity.Encore.AccountService.Services,Trinity.Encore.AccountService.AccountService
Unstable Dependency,Trinity.Encore.AccountService,Trinity.Encore.AccountService.Bans,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Trinity.Encore.AccountService.Accounts,Trinity.Encore.AccountService.Bans.Account
Unstable Dependency,Trinity.Encore.AccountService,Trinity.Encore.AccountService.Database.Implementation,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Trinity.Encore.AccountService,Trinity.Encore.AccountService.Database.Implementation.AccountApplication
Unstable Dependency,Trinity.Encore.AccountService,Trinity.Encore.AccountService.Database,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Trinity.Encore.AccountService.Bans,Trinity.Encore.AccountService.Database.BanManager
