Implementation smell,Namespace,Class,File,Method,Description
Long Statement,LambdaRules,Program,C:\repos\MarimerLLC_csla\Samples\NET\cs\RuleTutorial\LambdaRule Extension\Program.cs,Main,The length of the statement  "        Console.WriteLine("\"{0}\" has {2} message \"{1}\""' Root.Num2Property.Name' brokenRule.Description' brokenRule.Severity); " is 122.
Long Statement,LambdaRules,Root,C:\repos\MarimerLLC_csla\Samples\NET\cs\RuleTutorial\LambdaRule Extension\Root.cs,AddBusinessRules,The length of the statement  "      BusinessRules.AddRule<Root>(Num2Property' o => o.Num2 > Num1' () => Resources.Num2LargerThanNum1' RuleSeverity.Warning); " is 120.
Magic Number,LambdaRules,Program,C:\repos\MarimerLLC_csla\Samples\NET\cs\RuleTutorial\LambdaRule Extension\Program.cs,Main,The following statement contains a magic number: root.Num1 = 4;
Magic Number,LambdaRules,Program,C:\repos\MarimerLLC_csla\Samples\NET\cs\RuleTutorial\LambdaRule Extension\Program.cs,Main,The following statement contains a magic number: root.Num2 = 8;
Magic Number,LambdaRules,Root,C:\repos\MarimerLLC_csla\Samples\NET\cs\RuleTutorial\LambdaRule Extension\Root.cs,AddBusinessRules,The following statement contains a magic number: BusinessRules.AddRule<Root>(Num1Property' o => o.Num1 > 3' "{0} must be larger than 3");
