Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Wieszak_Helper,App,C:\repos\danielskowronski_WieszakHelper\Wieszak Helper\App.xaml.cs,OnLaunched,Cyclomatic complexity of the method is 8
Long Statement,Wieszak_Helper,MainPage,C:\repos\danielskowronski_WieszakHelper\Wieszak Helper\MainPage.xaml.cs,saveNumerek,The length of the statement  "	tileXml.LoadXml ("<tile><visual><binding template=\"TileSquareText01\"><text id=\"1\">WIESZAK " + val + "</text></binding>  </visual></tile>"); " is 143.
Magic Number,Wieszak_Helper,MainPage,C:\repos\danielskowronski_WieszakHelper\Wieszak Helper\MainPage.xaml.cs,validNumerek,The following statement contains a magic number: if (val.Length > 3)  	return false;  
Magic Number,Wieszak_Helper,MainPage,C:\repos\danielskowronski_WieszakHelper\Wieszak Helper\MainPage.xaml.cs,saveNumerek,The following statement contains a magic number: tileNotification.ExpirationTime = DateTimeOffset.UtcNow.AddSeconds (60 * 60 * 24);  
Magic Number,Wieszak_Helper,MainPage,C:\repos\danielskowronski_WieszakHelper\Wieszak Helper\MainPage.xaml.cs,saveNumerek,The following statement contains a magic number: tileNotification.ExpirationTime = DateTimeOffset.UtcNow.AddSeconds (60 * 60 * 24);  
Magic Number,Wieszak_Helper,MainPage,C:\repos\danielskowronski_WieszakHelper\Wieszak Helper\MainPage.xaml.cs,saveNumerek,The following statement contains a magic number: tileNotification.ExpirationTime = DateTimeOffset.UtcNow.AddSeconds (60 * 60 * 24);  
