Implementation smell,Namespace,Class,File,Method,Description
Missing Default,Simplify.DI.Provider.SimpleInjector,SimpleInjectorDIProvider,D:\research\architectureSmells\repos\i4004_Simplify\src\Simplify.DI.Provider.SimpleInjector\SimpleInjectorDIProvider.cs,Register,The following switch statement is missing a default case: switch (lifetimeType)  			{  				case LifetimeType.PerLifetimeScope:  					Container.Register(serviceType' implementationType' Lifestyle.Scoped);  					break;    				case LifetimeType.Singleton:  					Container.Register(serviceType' implementationType' Lifestyle.Singleton);  					break;    				case LifetimeType.Transient:  					Container.Register(serviceType' implementationType' Lifestyle.Transient);  					break;  			}
Missing Default,Simplify.DI.Provider.SimpleInjector,SimpleInjectorDIProvider,D:\research\architectureSmells\repos\i4004_Simplify\src\Simplify.DI.Provider.SimpleInjector\SimpleInjectorDIProvider.cs,Register,The following switch statement is missing a default case: switch (lifetimeType)  			{  				case LifetimeType.PerLifetimeScope:  					Container.Register(serviceType' () => instanceCreator(this)' Lifestyle.Scoped);  					break;    				case LifetimeType.Singleton:  					Container.Register(serviceType' () => instanceCreator(this)' Lifestyle.Singleton);  					break;    				case LifetimeType.Transient:  					Container.Register(serviceType' () => instanceCreator(this)' Lifestyle.Transient);  					break;  			}
