Implementation smell,Namespace,Class,File,Method,Description
Long Statement,PhoneLogic.Model,StringFormatSvc,C:\repos\FrankMedvedik_phoneroom\Phonelogic.Alert\..\PhoneLogic.Model.Silverlight\StringFormatSvc.cs,JobFormatted,The length of the statement  "	return (String.IsNullOrWhiteSpace (jobNumber)) ? jobNumber : jobNumber.Substring (0' 4) + "-" + jobNumber.Substring (4' 4); " is 123.
Long Statement,PhoneLogic.Model,StringFormatSvc,C:\repos\FrankMedvedik_phoneroom\Phonelogic.Alert\..\PhoneLogic.Model.Silverlight\StringFormatSvc.cs,JobAndTaskFormatted,The length of the statement  "	return (String.IsNullOrWhiteSpace (jobNumber)) ? jobNumber : jobNumber.Substring (0' 4) + "-" + jobNumber.Substring (4); " is 120.
Long Statement,PhoneLogic.Model,StringFormatSvc,C:\repos\FrankMedvedik_phoneroom\Phonelogic.Alert\..\PhoneLogic.Model.Silverlight\StringFormatSvc.cs,PhoneNumberFormatted,The length of the statement  "		retval = (String.IsNullOrWhiteSpace (phoneNumber)) ? phoneNumber : String.Format ("{0:(###)###-####}"' double.Parse (phoneNumber)); " is 131.
Magic Number,PhoneLogic.Model,StringFormatSvc,C:\repos\FrankMedvedik_phoneroom\Phonelogic.Alert\..\PhoneLogic.Model.Silverlight\StringFormatSvc.cs,DurationFormatted,The following statement contains a magic number: if (int.TryParse (duration' out n))  	return string.Format ("{0:00}:{1:00}:{2:00}"' n / 3600' (n / 60) % 60' n % 60);  
Magic Number,PhoneLogic.Model,StringFormatSvc,C:\repos\FrankMedvedik_phoneroom\Phonelogic.Alert\..\PhoneLogic.Model.Silverlight\StringFormatSvc.cs,DurationFormatted,The following statement contains a magic number: if (int.TryParse (duration' out n))  	return string.Format ("{0:00}:{1:00}:{2:00}"' n / 3600' (n / 60) % 60' n % 60);  
Magic Number,PhoneLogic.Model,StringFormatSvc,C:\repos\FrankMedvedik_phoneroom\Phonelogic.Alert\..\PhoneLogic.Model.Silverlight\StringFormatSvc.cs,DurationFormatted,The following statement contains a magic number: if (int.TryParse (duration' out n))  	return string.Format ("{0:00}:{1:00}:{2:00}"' n / 3600' (n / 60) % 60' n % 60);  
Magic Number,PhoneLogic.Model,StringFormatSvc,C:\repos\FrankMedvedik_phoneroom\Phonelogic.Alert\..\PhoneLogic.Model.Silverlight\StringFormatSvc.cs,DurationFormatted,The following statement contains a magic number: if (int.TryParse (duration' out n))  	return string.Format ("{0:00}:{1:00}:{2:00}"' n / 3600' (n / 60) % 60' n % 60);  
Magic Number,PhoneLogic.Model,StringFormatSvc,C:\repos\FrankMedvedik_phoneroom\Phonelogic.Alert\..\PhoneLogic.Model.Silverlight\StringFormatSvc.cs,DurationFormatted,The following statement contains a magic number: return string.Format ("{0:00}:{1:00}:{2:00}"' n / 3600' (n / 60) % 60' n % 60);  
Magic Number,PhoneLogic.Model,StringFormatSvc,C:\repos\FrankMedvedik_phoneroom\Phonelogic.Alert\..\PhoneLogic.Model.Silverlight\StringFormatSvc.cs,DurationFormatted,The following statement contains a magic number: return string.Format ("{0:00}:{1:00}:{2:00}"' n / 3600' (n / 60) % 60' n % 60);  
Magic Number,PhoneLogic.Model,StringFormatSvc,C:\repos\FrankMedvedik_phoneroom\Phonelogic.Alert\..\PhoneLogic.Model.Silverlight\StringFormatSvc.cs,DurationFormatted,The following statement contains a magic number: return string.Format ("{0:00}:{1:00}:{2:00}"' n / 3600' (n / 60) % 60' n % 60);  
Magic Number,PhoneLogic.Model,StringFormatSvc,C:\repos\FrankMedvedik_phoneroom\Phonelogic.Alert\..\PhoneLogic.Model.Silverlight\StringFormatSvc.cs,DurationFormatted,The following statement contains a magic number: return string.Format ("{0:00}:{1:00}:{2:00}"' n / 3600' (n / 60) % 60' n % 60);  
