Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Cyclic Dependency,Floe.UI,Floe.UI,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Floe.UI' Floe.UI.Interop,Floe.UI.ChannelWindow' Floe.UI.Interop.ColorPicker,Floe.UI.ChannelWindow' Floe.UI.Interop.ColorPicker
Unstable Dependency,Floe.UI,Floe.UI,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): Floe.UI.Interop,Floe.UI.WindowHelper,Floe.UI.WindowHelper
God Component,Floe.UI,Floe.UI,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 46,Floe.UI.IgnoreActions' Floe.UI.ChatBoxBase' Floe.UI.ChatMarker' Floe.UI.ChatSpanFlags' Floe.UI.ChatSpan' Floe.UI.ChatLink' Floe.UI.Block' Floe.UI.Constants' Floe.UI.SearchDirection' Floe.UI.SearchOptions' Floe.UI.ChannelLevel' Floe.UI.NotifyState' Floe.UI.ChatPageType' Floe.UI.FileStatus' Floe.UI.DccMethod' Floe.UI.CustomTextRunProperties' Floe.UI.CustomParagraphProperties,Floe.UI.App' Floe.UI.IgnoreInfo' Floe.UI.LogFileHandle' Floe.UI.IgnoreActions' Floe.UI.ChannelWindow' Floe.UI.ChatBox' Floe.UI.ChatBoxBase' Floe.UI.ChatMarker' Floe.UI.ChatFormatter' Floe.UI.CustomTextRunProperties' Floe.UI.CustomParagraphProperties' Floe.UI.ChatLine' Floe.UI.IChatSpanProvider' Floe.UI.ChatSpanFlags' Floe.UI.ChatSpan' Floe.UI.ChatLink' Floe.UI.ChatPresenter' Floe.UI.Block' Floe.UI.Constants' Floe.UI.SearchDirection' Floe.UI.SearchOptions' Floe.UI.ChatControl' Floe.UI.CommandException' Floe.UI.ChannelLevel' Floe.UI.NicknameItem' Floe.UI.NicknameList' Floe.UI.NotifyState' Floe.UI.ChatPageType' Floe.UI.ChatPage' Floe.UI.ChatTabItem' Floe.UI.ChatWindow' Floe.UI.BrushToColorConverter' Floe.UI.DoubleToPercentConverter' Floe.UI.SecondsToFriendlyTimeConverter' Floe.UI.BytesToFriendlyStringConverter' Floe.UI.BrushAlphaConverter' Floe.UI.BrushSaturationConverter' Floe.UI.MultiplyConverter' Floe.UI.VisibilityConverter' Floe.UI.ConfirmDialog' Floe.UI.FileStatus' Floe.UI.DccMethod' Floe.UI.FileControl' Floe.UI.HsvColor' Floe.UI.ListControl' Floe.UI.ChannelItem
Feature Concentration,Floe.UI,Floe.UI,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [App' IgnoreInfo' LogFileHandle' IgnoreActions' ChannelWindow' ChatMarker' ChatLine' IChatSpanProvider' ChatSpanFlags' ChatSpan' ChatLink' Block' Constants' ChatControl' NicknameList' NotifyState' ChatPageType' ChatPage' ChatTabItem' ChatWindow' FileControl' ListControl' ChannelItem' ChatBox' ChatBoxBase' ChatPresenter' SearchDirection' ChatFormatter' CustomTextRunProperties' CustomParagraphProperties' ChannelLevel' NicknameItem' FileStatus' DccMethod]' [SearchOptions]' [CommandException]' [BrushToColorConverter]' [DoubleToPercentConverter]' [SecondsToFriendlyTimeConverter]' [BytesToFriendlyStringConverter]' [BrushAlphaConverter]' [BrushSaturationConverter' HsvColor]' [MultiplyConverter]' [VisibilityConverter]' [ConfirmDialog]. LCC (Lack of Component Cohesion) = 0.26,Floe.UI.BrushAlphaConverter' Floe.UI.MultiplyConverter' Floe.UI.VisibilityConverter' Floe.UI.ConfirmDialog,Floe.UI.App' Floe.UI.IgnoreInfo' Floe.UI.LogFileHandle' Floe.UI.IgnoreActions' Floe.UI.ChannelWindow' Floe.UI.ChatBox' Floe.UI.ChatBoxBase' Floe.UI.ChatMarker' Floe.UI.ChatFormatter' Floe.UI.CustomTextRunProperties' Floe.UI.CustomParagraphProperties' Floe.UI.ChatLine' Floe.UI.IChatSpanProvider' Floe.UI.ChatSpanFlags' Floe.UI.ChatSpan' Floe.UI.ChatLink' Floe.UI.ChatPresenter' Floe.UI.Block' Floe.UI.Constants' Floe.UI.SearchDirection' Floe.UI.SearchOptions' Floe.UI.ChatControl' Floe.UI.CommandException' Floe.UI.ChannelLevel' Floe.UI.NicknameItem' Floe.UI.NicknameList' Floe.UI.NotifyState' Floe.UI.ChatPageType' Floe.UI.ChatPage' Floe.UI.ChatTabItem' Floe.UI.ChatWindow' Floe.UI.BrushToColorConverter' Floe.UI.DoubleToPercentConverter' Floe.UI.SecondsToFriendlyTimeConverter' Floe.UI.BytesToFriendlyStringConverter' Floe.UI.BrushAlphaConverter' Floe.UI.BrushSaturationConverter' Floe.UI.MultiplyConverter' Floe.UI.VisibilityConverter' Floe.UI.ConfirmDialog' Floe.UI.FileStatus' Floe.UI.DccMethod' Floe.UI.FileControl' Floe.UI.HsvColor' Floe.UI.ListControl' Floe.UI.ChannelItem
Feature Concentration,Floe.UI,Floe.UI.Interop,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CHOOSECOLOR' ColorPicker]' [FolderBrowser' BROWSEINFO]' [NotifyIcon' NotifyIconData]' [WindowConstants]' [HitTestValues]' [RECT' WINDOWPLACEMENT' MONITORINFO' WindowHelper' POINT' MINMAXINFO' FLASHINFO]. LCC (Lack of Component Cohesion) = 0.4,Floe.UI.Interop.CHOOSECOLOR' Floe.UI.Interop.ColorPicker' Floe.UI.Interop.FolderBrowser' Floe.UI.Interop.BROWSEINFO' Floe.UI.Interop.NotifyIcon' Floe.UI.Interop.NotifyIconData' Floe.UI.Interop.WindowConstants' Floe.UI.Interop.HitTestValues,Floe.UI.Interop.CHOOSECOLOR' Floe.UI.Interop.ColorPicker' Floe.UI.Interop.FolderBrowser' Floe.UI.Interop.BROWSEINFO' Floe.UI.Interop.NotifyIcon' Floe.UI.Interop.NotifyIconData' Floe.UI.Interop.WindowConstants' Floe.UI.Interop.HitTestValues' Floe.UI.Interop.RECT' Floe.UI.Interop.POINT' Floe.UI.Interop.WINDOWPLACEMENT' Floe.UI.Interop.MINMAXINFO' Floe.UI.Interop.MONITORINFO' Floe.UI.Interop.FLASHINFO' Floe.UI.Interop.WindowHelper
