Implementation smell,Namespace,Class,File,Method,Description
Magic Number,SharedPresentationLib,MainViewModel,C:\repos\wiyonoaten_XPlatMvvmLabApp\SharedPresentationLib.PCL\ViewModels\MainViewModel.cs,ExecuteGo,The following statement contains a magic number: if (++m_count == 10) {  	this.GoCommand.RaiseCanExecuteChanged ();  }  
Magic Number,SharedPresentationLib,MainViewModel,C:\repos\wiyonoaten_XPlatMvvmLabApp\SharedPresentationLib.PCL\ViewModels\MainViewModel.cs,CanExecuteGo,The following statement contains a magic number: return (m_count < 10);  
