Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Kingstar,Client,C:\repos\javagg_kingstar_csharp_sdk\Kingstar\Client.cs,Client,The method has 5 parameters.
Long Statement,Kingstar.Util,UtcDateTimeSerializer,C:\repos\javagg_kingstar_csharp_sdk\Kingstar\Util\UtcDateTimeSerializer.cs,FromString,The length of the statement  "		DateTime d = DateTime.ParseExact (s' FORMAT' System.Globalization.CultureInfo.InvariantCulture' System.Globalization.DateTimeStyles.AdjustToUniversal); " is 151.
Long Statement,Kingstar,Message,C:\repos\javagg_kingstar_csharp_sdk\Kingstar\Message\Message.cs,Validate,The length of the statement  "	//                    throw new InvalidMessage("Expected BodyLength=" + BodyLength() + "' Received BodyLength=" + receivedBodyLength); " is 134.
Long Statement,Kingstar,Message,C:\repos\javagg_kingstar_csharp_sdk\Kingstar\Message\Message.cs,Validate,The length of the statement  "	//                    throw new InvalidMessage("Expected CheckSum=" + CheckSum() + "' Received CheckSum=" + receivedCheckSum); " is 126.
