Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Template,App,D:\research\architectureSmells\repos1\ScruffyFurn_Windows-Unity-Ad-Network-Plugin\Phone 8.1\PluginTest\App.xaml.cs,SetupLocationService,The length of the statement  "				var messageDialog = new Windows.UI.Popups.MessageDialog("Can this application use your location?"' "Location services"); " is 120.
Empty Catch Block,Template,MainPage,D:\research\architectureSmells\repos1\ScruffyFurn_Windows-Unity-Ad-Network-Plugin\Phone 8.1\PluginTest\MainPage.xaml.cs,GetSplashBackgroundColor,The method has an empty catch block.
Magic Number,Template,MainPage,D:\research\architectureSmells\repos1\ScruffyFurn_Windows-Unity-Ad-Network-Plugin\Phone 8.1\PluginTest\MainPage.xaml.cs,GetSplashBackgroundColor,The following statement contains a magic number: manifest = manifest.Substring(idx + 2);
Magic Number,Template,MainPage,D:\research\architectureSmells\repos1\ScruffyFurn_Windows-Unity-Ad-Network-Plugin\Phone 8.1\PluginTest\MainPage.xaml.cs,GetSplashBackgroundColor,The following statement contains a magic number: int value = Convert.ToInt32(manifest' 16) & 0x00FFFFFF;
Magic Number,Template,MainPage,D:\research\architectureSmells\repos1\ScruffyFurn_Windows-Unity-Ad-Network-Plugin\Phone 8.1\PluginTest\MainPage.xaml.cs,GetSplashBackgroundColor,The following statement contains a magic number: byte r = (byte)(value >> 16);
Magic Number,Template,MainPage,D:\research\architectureSmells\repos1\ScruffyFurn_Windows-Unity-Ad-Network-Plugin\Phone 8.1\PluginTest\MainPage.xaml.cs,GetSplashBackgroundColor,The following statement contains a magic number: byte g = (byte)((value & 0x0000FF00) >> 8);
Missing Default,Template,App,D:\research\architectureSmells\repos1\ScruffyFurn_Windows-Unity-Ad-Network-Plugin\Phone 8.1\PluginTest\App.xaml.cs,OnActivated,The following switch statement is missing a default case: switch (args.Kind)  			{  				case ActivationKind.Protocol:  					ProtocolActivatedEventArgs eventArgs = args as ProtocolActivatedEventArgs;  					splashScreen = eventArgs.SplashScreen;  					appArgs += string.Format("Uri={0}"' eventArgs.Uri.AbsoluteUri);  					break;  			}
