Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Senparc.Weixin.MP.MvcExtension,SenparcOAuthAttribute,C:\repos\JeffreySu_WeiXinMPSDK\src\Senparc.Weixin.MP.MvcExtension\Senparc.Weixin.MP.MvcExtension\Filters\SenparcOAuthAttribute.cs,OnAuthorization,The length of the statement  "                    var callbackUrl = Senparc.Weixin.HttpUtility.UrlUtility.GenerateOAuthCallbackUrl(filterContext.HttpContext' _oauthCallbackUrl); " is 127.
Long Statement,Senparc.Weixin.MP.MvcExtension,WeixinInternalRequestAttribute,C:\repos\JeffreySu_WeiXinMPSDK\src\Senparc.Weixin.MP.MvcExtension\Senparc.Weixin.MP.MvcExtension\Filters\WeixinInternalRequestAttribute.cs,OnActionExecuting,The length of the statement  "            if (string.IsNullOrEmpty(_ignoreParameter) || string.IsNullOrEmpty(filterContext.RequestContext.HttpContext.Request.QueryString[_ignoreParameter])) " is 147.
Long Statement,Senparc.Weixin.MP.MvcExtension,WeixinInternalRequestAttribute,C:\repos\JeffreySu_WeiXinMPSDK\src\Senparc.Weixin.MP.MvcExtension\Senparc.Weixin.MP.MvcExtension\Filters\WeixinInternalRequestAttribute.cs,OnActionExecuting,The length of the statement  "            if (string.IsNullOrEmpty(_ignoreParameter) || string.IsNullOrEmpty(filterContext.HttpContext.Request.Query[_ignoreParameter])) " is 126.
