Implementation smell,Namespace,Class,File,Method,Description
Long Statement,System.Net.Http.Extensions.Compression.Client,ClientCompressionHandler,D:\research\architectureSmells\repos\azzlack_Microsoft.AspNet.WebApi.MessageHandlers.Compression\src\Client\ClientCompressionHandler.cs,CompressRequest,The length of the statement  "            // If multiple content-codings are acceptable' then the acceptable content-coding with the highest non-zero qvalue is preferred. " is 128.
Long Statement,System.Net.Http.Extensions.Compression.Client,ClientCompressionHandler,D:\research\architectureSmells\repos\azzlack_Microsoft.AspNet.WebApi.MessageHandlers.Compression\src\Client\ClientCompressionHandler.cs,DecompressResponse,The length of the statement  "                var compressor = this.Compressors.FirstOrDefault(c => c.EncodingType.Equals(encoding' StringComparison.OrdinalIgnoreCase)); " is 123.
Long Statement,System.Net.Http.Extensions.Compression.Client,ClientCompressionHandler,D:\research\architectureSmells\repos\azzlack_Microsoft.AspNet.WebApi.MessageHandlers.Compression\src\Client\ClientCompressionHandler.cs,DecompressResponse,The length of the statement  "                        response.Content = await this.httpContentOperations.DecompressContent(response.Content' compressor).ConfigureAwait(false); " is 122.
