Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Facebook.IntegrationTests,FacebookIntegrationTests,D:\research\architectureSmells\repos\facebook-csharp-sdk_facebook-csharp-sdk\Source\Facebook.IntegrationTests\FacebookIntegrationTests.cs,StartIntegrationTests,The length of the statement  "            SingleMediaObjectUploadTests(_accessToken' File.ReadAllBytes(@"C:\Users\Public\Pictures\Sample Pictures\Koala.jpg")' "image/jpeg"' "koala.jpg"); " is 144.
Long Statement,Facebook.IntegrationTests,FacebookIntegrationTests,D:\research\architectureSmells\repos\facebook-csharp-sdk_facebook-csharp-sdk\Source\Facebook.IntegrationTests\FacebookIntegrationTests.cs,StartIntegrationTests,The length of the statement  "            GraphVideoUploadTests(_accessToken' File.ReadAllBytes(@"D:\Prabir\Downloads\do-beer-not-drugs.3gp")' "video/3gpp"' "a.3gp"); " is 124.
Long Statement,Facebook.IntegrationTests,FacebookIntegrationTests,D:\research\architectureSmells\repos\facebook-csharp-sdk_facebook-csharp-sdk\Source\Facebook.IntegrationTests\FacebookIntegrationTests.cs,StartIntegrationTests,The length of the statement  "            LegacyRestApiVideoUploadTests(_accessToken' File.ReadAllBytes(@"D:\Prabir\Downloads\do-beer-not-drugs.3gp")' "video/3gpp"' "do-bee-not-drugs.3gp"); " is 147.
Long Statement,Facebook.Tests.Graph,GraphPublishTests,D:\research\architectureSmells\repos\facebook-csharp-sdk_facebook-csharp-sdk\Source\Facebook.IntegrationTests\GraphPublishTests.cs,Wall_Post_Publish,The length of the statement  "            parameters.message = "This is a test message that has been published by the Facebook C# SDK on Codeplex. " + DateTime.UtcNow.Ticks.ToString(); " is 142.
Long Statement,Facebook.Tests.Graph,GraphPublishTests,D:\research\architectureSmells\repos\facebook-csharp-sdk_facebook-csharp-sdk\Source\Facebook.IntegrationTests\GraphPublishTests.cs,Wall_Post_Publish_And_Delete,The length of the statement  "            parameters.message = "This is a test message that has been published by the Facebook C# SDK on Codeplex. " + DateTime.UtcNow.Ticks.ToString(); " is 142.
Magic Number,Facebook.IntegrationTests,FacebookIntegrationTests,D:\research\architectureSmells\repos\facebook-csharp-sdk_facebook-csharp-sdk\Source\Facebook.IntegrationTests\FacebookIntegrationTests.cs,LegacyRestApiTests,The following statement contains a magic number: Test("legacy rest api tests"' () =>              {                  var fb = new FacebookClient();                    var parameters = new Dictionary<string' object>();                  parameters["fields"] = new[] { "name" };                  parameters["uids"] = new[] { 4 };                  parameters["method"] = "users.getInfo";                    return fb.Get(parameters);              });
