Implementation smell,Namespace,Class,File,Method,Description
Long Statement,MvcApplication,BundleConfig,F:\newReposMay17\IdentityModel_Thinktecture.IdentityModel.45\Samples\MVC\MvcApplication\MvcApplication\App_Start\BundleConfig.cs,RegisterBundles,The length of the statement  "	bundles.Add (new ScriptBundle ("~/bundles/jqueryval").Include ("~/Scripts/jquery.unobtrusive*"' "~/Scripts/jquery.validate*")); " is 127.
Long Statement,MvcApplication,BundleConfig,F:\newReposMay17\IdentityModel_Thinktecture.IdentityModel.45\Samples\MVC\MvcApplication\MvcApplication\App_Start\BundleConfig.cs,RegisterBundles,The length of the statement  "	bundles.Add (new StyleBundle ("~/Content/themes/base/css").Include ("~/Content/themes/base/jquery.ui.core.css"' "~/Content/themes/base/jquery.ui.resizable.css"' "~/Content/themes/base/jquery.ui.selectable.css"' "~/Content/themes/base/jquery.ui.accordion.css"' "~/Content/themes/base/jquery.ui.autocomplete.css"' "~/Content/themes/base/jquery.ui.button.css"' "~/Content/themes/base/jquery.ui.dialog.css"' "~/Content/themes/base/jquery.ui.slider.css"' "~/Content/themes/base/jquery.ui.tabs.css"' "~/Content/themes/base/jquery.ui.datepicker.css"' "~/Content/themes/base/jquery.ui.progressbar.css"' "~/Content/themes/base/jquery.ui.theme.css")); " is 641.
Magic Number,MvcApplication.Controllers,MyDynamicFrameOptionsAttribute,F:\newReposMay17\IdentityModel_Thinktecture.IdentityModel.45\Samples\MVC\MvcApplication\MvcApplication\Controllers\XFrameOptionsController.cs,GetCustomOrigin,The following statement contains a magic number: if (request.Url.Host == "someHostITrust" || request.Url.Host == "localhost") {  	var origin = request.Url.Scheme + "://" + request.Url.Host + (request.Url.Port == 80 ? "" : ":" + request.Url.Port);  	return origin;  }  
