Implementation smell,Namespace,Class,File,Method,Description
Long Statement,ConverterTests,When_asked_to_get_the_info_from_a_set_column,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\MappedPropertyInfoTests.cs,BeforeEachTest,The length of the statement  "					<set name=""TaxRecords"" inverse=""true"" cascade=""none""  table=""TAX_CALC_FILTER"" lazy=""true""  outer-join=""false"">" is 122.
Long Statement,ConverterTests,When_asked_to_get_the_info_from_a_component_column,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\MappedPropertyInfoTests.cs,BeforeEachTest,The length of the statement  "					<component name=""Address"" class=""Mvba.Enterprise.Business.Address' Mvba.Enterprise.Business"" insert=""true"" update=""true"">" is 129.
Long Statement,ConverterTests.Methods,When_asked_to_Add_unsaved_value,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Methods\GeneratedByTests.cs,Should_generate_correct_code_given_MappedPropertyInfo_Type_is_not_Id_and_generator_class_is__sequence,The length of the statement  "				result.ShouldBeEqualTo(string.Format(".{0}.{1}(\"IX_NAME\")\r\n"' GeneratedBy.FluentNHibernateNames.GeneratedBy' GeneratedBy.FluentNHibernateNames.Sequence));" is 158.
Long Statement,ConverterTests.Methods,When_asked_to_Add_unsaved_value,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Methods\GeneratedByTests.cs,Should_generate_correct_code_given_MappedPropertyInfo_Type_is_not_Id_and_generator_class_is__assigned,The length of the statement  "				result.ShouldBeEqualTo(String.Format(".{0}.{1}()\r\n"' GeneratedBy.FluentNHibernateNames.GeneratedBy' GeneratedBy.FluentNHibernateNames.Assigned));" is 147.
Long Statement,ConverterTests.Methods,When_asked_to_Add_unsaved_value,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Methods\GeneratedByTests.cs,Should_generate_correct_code_given_MappedPropertyInfo_Type_is_not_Id_and_generator_class_is__native,The length of the statement  "				result.ShouldBeEqualTo(string.Format(".{0}.{1}()\r\n"' GeneratedBy.FluentNHibernateNames.GeneratedBy' GeneratedBy.FluentNHibernateNames.Native));" is 145.
Long Statement,ConverterTests.Methods,When_asked_to_Add_nullability,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Methods\NullabilityTests.cs,Should_generate_correct_code_given_MappedPropertyInfo_Type_is_valid_and_CanBeNull_is_false,The length of the statement  "				result.ShouldBeEqualTo(string.Format(".{0}.{1}()\r\n"' Nullability.FluentNHibernateNames.Not' Nullability.FluentNHibernateNames.Nullable));" is 139.
Long Statement,ConverterTests.Methods.Join,When_asked_to_Add_a_cascade_type,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Methods\Join\CascadeTests.cs,Should_generate_correct_code_given__save_update,The length of the statement  "				result.ShouldBeEqualTo(string.Format(".{0}.{1}()\r\n"' Cascade.FluentNHibernateNames.Cascade' Cascade.FluentNHibernateNames.SaveUpdate));" is 137.
Long Statement,ConverterTests.Methods.Join,When_asked_to_Add_a_cascade_type,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Methods\Join\CascadeTests.cs,Should_generate_correct_code_given__none,The length of the statement  "				result.ShouldBeEqualTo(string.Format(".{0}.{1}()\r\n"' Cascade.FluentNHibernateNames.Cascade' Cascade.FluentNHibernateNames.None));" is 131.
Long Statement,ConverterTests.Methods.Join,When_asked_to_Add_an_inverse_relationship,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Methods\Join\InverseTests.cs,Should_generate_correct_code_given__False,The length of the statement  "				result.ShouldBeEqualTo(string.Format(".{0}.{1}()\r\n"' Inverse.FluentNHibernateNames.Not' Inverse.FluentNHibernateNames.Inverse));" is 130.
Long Statement,ConverterTests.Methods.Join,When_asked_to_Add_lazy_load,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Methods\Join\LazyLoadTests.cs,Should_generate_correct_code_given__HbmCollectionLazy_False__and_lazySpecified_is_true,The length of the statement  "				result.ShouldBeEqualTo(string.Format(".{0}.{1}()\r\n"' LazyLoad.FluentNHibernateNames.Not' LazyLoad.FluentNHibernateNames.LazyLoad));" is 133.
Long Statement,ConverterTests.Types,When_asked_to_convert_an_Id_column,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Types\IdTests.cs,Should_emit_GeneratedBy_Sequence_if_present_in_original_xml,The length of the statement  "						." + GeneratedBy.FluentNHibernateNames.GeneratedBy + @"." + GeneratedBy.FluentNHibernateNames.Sequence + @"(""S_COUNTY_ID"");").SplitOnFormattingWhitespace();" is 158.
Long Statement,ConverterTests.Types,When_asked_to_convert_an_Id_column,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Types\IdTests.cs,Should_emit_GeneratedBy_Assigned_if_present_in_original_xml,The length of the statement  "						." + GeneratedBy.FluentNHibernateNames.GeneratedBy + @"." + GeneratedBy.FluentNHibernateNames.Assigned + @"();").SplitOnFormattingWhitespace();" is 143.
Long Statement,ConverterTests.Types,When_asked_to_convert_a_property_column,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Types\MapTests.cs,Should_emit_Not_Nullable_if_present_in_original_xml,The length of the statement  "						." + Nullability.FluentNHibernateNames.Not + @"." + Nullability.FluentNHibernateNames.Nullable + @"();").SplitOnFormattingWhitespace();" is 135.
Long Statement,ConverterTests.Types,When_asked_to_convert_a_many_to_one_column,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Types\ReferencesTests.cs,Should_emit_Not_Nullable_if_present_in_original_xml,The length of the statement  "						." + Nullability.FluentNHibernateNames.Not + @"." + Nullability.FluentNHibernateNames.Nullable + @"();").SplitOnFormattingWhitespace();" is 135.
Magic Number,ConverterTests,When_asked_to_get_the_info_from_a_String_property,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\MappedPropertyInfoTests.cs,Should_get_the_correct_max_length,The following statement contains a magic number: _info.MaxLength.ShouldBeEqualTo(50);
Magic Number,ConverterTests,When_asked_to_get_the_info_from_an_assigned_id_column,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\MappedPropertyInfoTests.cs,Should_get_the_correct_max_length,The following statement contains a magic number: _info.MaxLength.ShouldBeEqualTo(2);
Magic Number,ConverterTests,When_asked_to_get_the_info_from_a_many_to_one_varchar_column,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\MappedPropertyInfoTests.cs,Should_get_the_correct_max_length,The following statement contains a magic number: _info.MaxLength.ShouldBeEqualTo(2);
Magic Number,ConverterTests.Extensions.NHibernate,When_asked_to_GetMaxLength,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Extensions\NHibernate\HbmIdExtensionsTests.cs,Should_get_the_correct_value_from_length_if_not_null,The following statement contains a magic number: const int expected = 16;
Magic Number,ConverterTests.Extensions.NHibernate,When_asked_to_GetMaxLength,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Extensions\NHibernate\HbmIdExtensionsTests.cs,Should_get_the_correct_value_from_column_given_null_length,The following statement contains a magic number: const int expected = 16;
Magic Number,ConverterTests.Extensions.NHibernate,When_asked_to_GetMaxLength,C:\research\architectureSmells\repos\mvba_hbm-to-fnh\src\ConverterTests\Extensions\NHibernate\HbmIdExtensionsTests.cs,Should_get_the_correct_value_from_Items_if_sqltype_is_valid,The following statement contains a magic number: const int expected = 16;
