Implementation smell,Namespace,Class,File,Method,Description
Long Identifier,Glimpse.EF.Inspector.Core,DbConnectionFactoriesExecutionTask,F:\newReposMay17\Glimpse_Glimpse\source\Glimpse.EF6.Net45\..\Glimpse.EF\Inspector\Core\DbConnectionFactoriesExecutionTask.cs,Execute,The length of the parameter defaultConnectionFactoryChanged is 31.
Long Statement,Glimpse.EF.AlternateType,GlimpseDbProviderServices,F:\newReposMay17\Glimpse_Glimpse\source\Glimpse.EF6.Net45\..\Glimpse.EF\AlternateType\GlimpseDbProviderServices.cs,DbCreateDatabase,The length of the statement  "	InnerProviderServices.CreateDatabase (((GlimpseDbConnection)connection).InnerConnection' commandTimeout' storeItemCollection); " is 126.
Long Statement,Glimpse.EF.AlternateType,GlimpseDbProviderServices,F:\newReposMay17\Glimpse_Glimpse\source\Glimpse.EF6.Net45\..\Glimpse.EF\AlternateType\GlimpseDbProviderServices.cs,DbDatabaseExists,The length of the statement  "	return InnerProviderServices.DatabaseExists (((GlimpseDbConnection)connection).InnerConnection' commandTimeout' storeItemCollection); " is 133.
Long Statement,Glimpse.EF.AlternateType,GlimpseDbProviderServices,F:\newReposMay17\Glimpse_Glimpse\source\Glimpse.EF6.Net45\..\Glimpse.EF\AlternateType\GlimpseDbProviderServices.cs,DbDeleteDatabase,The length of the statement  "	InnerProviderServices.DeleteDatabase (((GlimpseDbConnection)connection).InnerConnection' commandTimeout' storeItemCollection); " is 126.
Long Statement,Glimpse.EF.Inspector.Core,DbConfigurationExecutionTask,F:\newReposMay17\Glimpse_Glimpse\source\Glimpse.EF6.Net45\..\Glimpse.EF\Inspector\Core\DbConfigurationExecutionTask.cs,Execute,The length of the statement  "	DbConfiguration.Loaded += (_' a) => a.ReplaceService<DbProviderServices> ((s' k) => s.GetType () == typeof(GlimpseDbProviderServices) ? s : new GlimpseDbProviderServices (s)); " is 175.
Long Statement,Glimpse.EF.Inspector.Core,DbConnectionFactoriesExecutionTask,F:\newReposMay17\Glimpse_Glimpse\source\Glimpse.EF6.Net45\..\Glimpse.EF\Inspector\Core\DbConnectionFactoriesExecutionTask.cs,Execute,The length of the statement  "	var defaultConnectionFactoryChanged = (bool)databaseType.GetProperty ("DefaultConnectionFactoryChanged"' BindingFlags.Static | BindingFlags.DeclaredOnly | BindingFlags.NonPublic).GetValue (databaseType' null); " is 209.
