Implementation smell,Namespace,Class,File,Method,Description
Long Identifier,Glimpse.EF.Inspector.Core,DbConnectionFactoriesExecutionTask,F:\newReposMay17\Glimpse_Glimpse\source\Glimpse.EF43.Net40\..\Glimpse.EF\Inspector\Core\DbConnectionFactoriesExecutionTask.cs,Execute,The length of the parameter defaultConnectionFactoryChanged is 31.
Long Statement,Glimpse.EF.AlternateType,GlimpseDbProviderServices,F:\newReposMay17\Glimpse_Glimpse\source\Glimpse.EF43.Net40\..\Glimpse.EF\AlternateType\GlimpseDbProviderServices.cs,DbCreateDatabase,The length of the statement  "	InnerProviderServices.CreateDatabase (((GlimpseDbConnection)connection).InnerConnection' commandTimeout' storeItemCollection); " is 126.
Long Statement,Glimpse.EF.AlternateType,GlimpseDbProviderServices,F:\newReposMay17\Glimpse_Glimpse\source\Glimpse.EF43.Net40\..\Glimpse.EF\AlternateType\GlimpseDbProviderServices.cs,DbDatabaseExists,The length of the statement  "	return InnerProviderServices.DatabaseExists (((GlimpseDbConnection)connection).InnerConnection' commandTimeout' storeItemCollection); " is 133.
Long Statement,Glimpse.EF.AlternateType,GlimpseDbProviderServices,F:\newReposMay17\Glimpse_Glimpse\source\Glimpse.EF43.Net40\..\Glimpse.EF\AlternateType\GlimpseDbProviderServices.cs,DbDeleteDatabase,The length of the statement  "	InnerProviderServices.DeleteDatabase (((GlimpseDbConnection)connection).InnerConnection' commandTimeout' storeItemCollection); " is 126.
Long Statement,Glimpse.EF.Inspector.Core,DbConnectionFactoriesExecutionTask,F:\newReposMay17\Glimpse_Glimpse\source\Glimpse.EF43.Net40\..\Glimpse.EF\Inspector\Core\DbConnectionFactoriesExecutionTask.cs,Execute,The length of the statement  "	var defaultConnectionFactoryChanged = (bool)databaseType.GetProperty ("DefaultConnectionFactoryChanged"' BindingFlags.Static | BindingFlags.DeclaredOnly | BindingFlags.NonPublic).GetValue (databaseType' null); " is 209.
