Implementation smell,Namespace,Class,File,Method,Description
Long Method,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The method has 101 lines of code.
Long Identifier,Sample.Droid,Styleable,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,,The length of the parameter MvxListView_MvxDropDownItemTemplate is 35.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.BarCodeScanner.Droid.Resource.Id.contentFrame = global::Sample.Droid.Resource.Id.contentFrame; " is 124.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.BarCodeScanner.Droid.Resource.Layout.zxingscanneractivitylayout = global::Sample.Droid.Resource.Layout.zxingscanneractivitylayout; " is 160.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.BarCodeScanner.Droid.Resource.Layout.zxingscannerfragmentlayout = global::Sample.Droid.Resource.Layout.zxingscannerfragmentlayout; " is 160.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.BarCodeScanner.Droid.Resource.String.ApplicationName = global::Sample.Droid.Resource.String.ApplicationName; " is 138.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.DeviceInfo.Droid.Resource.String.ApplicationName = global::Sample.Droid.Resource.String.ApplicationName; " is 134.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.FileSystem.Droid.Resource.String.ApplicationName = global::Sample.Droid.Resource.String.ApplicationName; " is 134.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.Network.Droid.Resource.String.ApplicationName = global::Sample.Droid.Resource.String.ApplicationName; " is 131.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.Settings.Droid.Resource.String.ApplicationName = global::Sample.Droid.Resource.String.ApplicationName; " is 132.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.SignaturePad.Droid.Resource.Id.signatureView = global::Sample.Droid.Resource.Id.signatureView; " is 124.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.SignaturePad.Droid.Resource.Layout.SignaturePad = global::Sample.Droid.Resource.Layout.SignaturePad; " is 130.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.SignaturePad.Droid.Resource.String.ApplicationName = global::Sample.Droid.Resource.String.ApplicationName; " is 136.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Attribute.ahBarColor = global::Sample.Droid.Resource.Attribute.ahBarColor; " is 131.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Attribute.ahBarLength = global::Sample.Droid.Resource.Attribute.ahBarLength; " is 133.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Attribute.ahBarWidth = global::Sample.Droid.Resource.Attribute.ahBarWidth; " is 131.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Attribute.ahCircleColor = global::Sample.Droid.Resource.Attribute.ahCircleColor; " is 137.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Attribute.ahDelayMillis = global::Sample.Droid.Resource.Attribute.ahDelayMillis; " is 137.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Attribute.ahRadius = global::Sample.Droid.Resource.Attribute.ahRadius; " is 127.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Attribute.ahRimColor = global::Sample.Droid.Resource.Attribute.ahRimColor; " is 131.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Attribute.ahRimWidth = global::Sample.Droid.Resource.Attribute.ahRimWidth; " is 131.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Attribute.ahSpinSpeed = global::Sample.Droid.Resource.Attribute.ahSpinSpeed; " is 133.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Attribute.ahText = global::Sample.Droid.Resource.Attribute.ahText; " is 123.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Attribute.ahTextColor = global::Sample.Droid.Resource.Attribute.ahTextColor; " is 133.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Attribute.ahTextSize = global::Sample.Droid.Resource.Attribute.ahTextSize; " is 131.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Drawable.ic_errorstatus = global::Sample.Droid.Resource.Drawable.ic_errorstatus; " is 137.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Drawable.ic_successstatus = global::Sample.Droid.Resource.Drawable.ic_successstatus; " is 141.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Drawable.roundedbg = global::Sample.Droid.Resource.Drawable.roundedbg; " is 127.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Drawable.roundedbgdark = global::Sample.Droid.Resource.Drawable.roundedbgdark; " is 135.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Id.loadingImage = global::Sample.Droid.Resource.Id.loadingImage; " is 121.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Id.loadingProgressBar = global::Sample.Droid.Resource.Id.loadingProgressBar; " is 133.
Long Statement,Sample.Droid,Resource,D:\research\architectureSmells\repos\aritchie_acrmvvmcross\Sample.Droid\Resources\Resource.Designer.cs,UpdateIdValues,The length of the statement  "			global::Acr.MvvmCross.Plugins.UserDialogs.Droid.Resource.Id.loadingProgressWheel = global::Sample.Droid.Resource.Id.loadingProgressWheel; " is 137.
