Implementation smell,Namespace,Class,File,Method,Description
Complex Method,StockDragFix,StockDragFix,C:\repos\Starwaster_StockDragFix\StockDragFix\StockDragFix.cs,Start,Cyclomatic complexity of the method is 10
Long Statement,StockDragFix,StockDragFix,C:\repos\Starwaster_StockDragFix\StockDragFix\StockDragFix.cs,Start,The length of the statement  "					if (enableConicDragTypes && (part.partPrefab.Modules.Contains ("ProceduralFairingSide") || part.partPrefab.partInfo.name.ToLowerInvariant ().Contains ("cone") || part.partPrefab.partInfo.title.ToLowerInvariant ().Contains ("cone"))) { " is 234.
Complex Conditional,StockDragFix,StockDragFix,C:\repos\Starwaster_StockDragFix\StockDragFix\StockDragFix.cs,Start,The conditional expression  "enableConicDragTypes && (part.partPrefab.Modules.Contains ("ProceduralFairingSide") || part.partPrefab.partInfo.name.ToLowerInvariant ().Contains ("cone") || part.partPrefab.partInfo.title.ToLowerInvariant ().Contains ("cone"))"  is complex.
