Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Orc.SortedSplitList,SortedSplitList,C:\repos\Orcomp_Orc.SortedSplitList\src\Orc.SortedSplitList\CodeProject\SortedSplitList.cs,InternalAdd,Cyclomatic complexity of the method is 12
Complex Method,Orc.SortedSplitList,SplitSortedList,C:\repos\Orcomp_Orc.SortedSplitList\src\Orc.SortedSplitList\CodeProject\SplitSortedList.cs,Remove,Cyclomatic complexity of the method is 8
Long Statement,Orc.SortedSplitList,SortedSplitList,C:\repos\Orcomp_Orc.SortedSplitList\src\Orc.SortedSplitList\CodeProject\SortedSplitList.cs,GetHorizontalTable,The length of the statement  "	var index = _verticalIndex.BinarySearch (localStruct' (containIndex < 0) ? _verticalComparer : (IComparer<VerticalIndexNode<T>>)_indexComparer); " is 144.
Complex Conditional,Orc.SortedSplitList,SimpleSortedList,C:\repos\Orcomp_Orc.SortedSplitList\src\Orc.SortedSplitList\StockpileInternal\SimpleSortedList.cs,Between,The conditional expression  "!highIncluded && highIndex >= 0 && highIndex < Count && _comparer.Compare (high' _keys [highIndex]) == 0"  is complex.
Magic Number,Orc.SortedSplitList,SimpleSortedList,C:\repos\Orcomp_Orc.SortedSplitList\src\Orc.SortedSplitList\StockpileInternal\SimpleSortedList.cs,Insert,The following statement contains a magic number: if (_count == _keys.Length) {  	Capacity = _keys.Length == 0 ? 1024 : Math.Max (_count + 1' Math.Min (_keys.Length * 2' 0X7FEFFFFF));  }  
Magic Number,Orc.SortedSplitList,SimpleSortedList,C:\repos\Orcomp_Orc.SortedSplitList\src\Orc.SortedSplitList\StockpileInternal\SimpleSortedList.cs,Insert,The following statement contains a magic number: if (_count == _keys.Length) {  	Capacity = _keys.Length == 0 ? 1024 : Math.Max (_count + 1' Math.Min (_keys.Length * 2' 0X7FEFFFFF));  }  
Magic Number,Orc.SortedSplitList,SimpleSortedList,C:\repos\Orcomp_Orc.SortedSplitList\src\Orc.SortedSplitList\StockpileInternal\SimpleSortedList.cs,Insert,The following statement contains a magic number: Capacity = _keys.Length == 0 ? 1024 : Math.Max (_count + 1' Math.Min (_keys.Length * 2' 0X7FEFFFFF));  
Magic Number,Orc.SortedSplitList,SimpleSortedList,C:\repos\Orcomp_Orc.SortedSplitList\src\Orc.SortedSplitList\StockpileInternal\SimpleSortedList.cs,Insert,The following statement contains a magic number: Capacity = _keys.Length == 0 ? 1024 : Math.Max (_count + 1' Math.Min (_keys.Length * 2' 0X7FEFFFFF));  
