Method,LOC,CC,PC
ISourceForgeMirrorParser:ParseMirrors,0,1,1
SourceForgeMirrorListDownloader:SourceForgeMirrorListDownloader,1,1,1
SourceForgeMirrorListDownloader:SourceForgeMirrorListDownloader,4,2,1
SourceForgeMirrorListDownloader:Download,9,1,0
SourceForgeMirrorParser:ParseMirrors,5,1,1
SourceForgeMirrorProvider:SourceForgeMirrorProvider,1,1,0
SourceForgeMirrorProvider:SourceForgeMirrorProvider,1,1,2
SourceForgeMirrorProvider:SourceForgeMirrorProvider,5,1,2
SourceForgeMirrorProvider:GetMirrors,3,1,0
SourceForgeMirrorProvider:ToString,3,1,0
SourceForgeMirrorProvider:GetMirrors,3,1,1
SourceForgeMirrorProvider:DownloadMirrorList,3,1,0
SourceForgeMirrorProvider:GetUrlForMirror,3,1,1
MainWindow:MainWindow,30,2,0
MainWindow:OnNotifyIconClick,6,2,2
MainWindow:OnStateChanged,7,2,1
MainWindow:OnClosing,4,1,2
MainWindow:OnClosed,5,1,1
MainWindow:Window_Loaded,3,1,2
MainWindow:LaunchHelp,4,1,2
StringFormatMethodAttribute:StringFormatMethodAttribute,3,1,1
NotifyPropertyChangedInvocatorAttribute:NotifyPropertyChangedInvocatorAttribute,1,1,0
NotifyPropertyChangedInvocatorAttribute:NotifyPropertyChangedInvocatorAttribute,3,1,1
ContractAnnotationAttribute:ContractAnnotationAttribute,1,1,1
ContractAnnotationAttribute:ContractAnnotationAttribute,4,1,2
LocalizationRequiredAttribute:LocalizationRequiredAttribute,1,1,0
LocalizationRequiredAttribute:LocalizationRequiredAttribute,3,1,1
BaseTypeRequiredAttribute:BaseTypeRequiredAttribute,3,1,1
UsedImplicitlyAttribute:UsedImplicitlyAttribute,1,1,0
UsedImplicitlyAttribute:UsedImplicitlyAttribute,1,1,1
UsedImplicitlyAttribute:UsedImplicitlyAttribute,1,1,1
UsedImplicitlyAttribute:UsedImplicitlyAttribute,4,1,2
MeansImplicitUseAttribute:MeansImplicitUseAttribute,1,1,0
MeansImplicitUseAttribute:MeansImplicitUseAttribute,1,1,1
MeansImplicitUseAttribute:MeansImplicitUseAttribute,1,1,1
MeansImplicitUseAttribute:MeansImplicitUseAttribute,4,1,2
PublicAPIAttribute:PublicAPIAttribute,1,1,0
PublicAPIAttribute:PublicAPIAttribute,3,1,1
PathReferenceAttribute:PathReferenceAttribute,1,1,0
PathReferenceAttribute:PathReferenceAttribute,3,1,1
AspMvcAreaMasterLocationFormatAttribute:AspMvcAreaMasterLocationFormatAttribute,1,1,1
AspMvcAreaPartialViewLocationFormatAttribute:AspMvcAreaPartialViewLocationFormatAttribute,1,1,1
AspMvcAreaViewLocationFormatAttribute:AspMvcAreaViewLocationFormatAttribute,1,1,1
AspMvcMasterLocationFormatAttribute:AspMvcMasterLocationFormatAttribute,1,1,1
AspMvcPartialViewLocationFormatAttribute:AspMvcPartialViewLocationFormatAttribute,1,1,1
AspMvcViewLocationFormatAttribute:AspMvcViewLocationFormatAttribute,1,1,1
AspMvcActionAttribute:AspMvcActionAttribute,1,1,0
AspMvcActionAttribute:AspMvcActionAttribute,3,1,1
AspMvcAreaAttribute:AspMvcAreaAttribute,1,1,0
AspMvcAreaAttribute:AspMvcAreaAttribute,3,1,1
AspMvcControllerAttribute:AspMvcControllerAttribute,1,1,0
AspMvcControllerAttribute:AspMvcControllerAttribute,3,1,1
HtmlElementAttributesAttribute:HtmlElementAttributesAttribute,1,1,0
HtmlElementAttributesAttribute:HtmlElementAttributesAttribute,3,1,1
HtmlAttributeValueAttribute:HtmlAttributeValueAttribute,3,1,1
Resources:Resources,2,1,0
