Implementation smell,Namespace,Class,File,Method,Description
Long Statement,CsvLINQPadDriverTest,SchemaBuilderTest,D:\research\architectureSmells\repos\dobrou_CsvLINQPadDriver\Tests\CsvLINQPadDriverTest\SchemaBuilderTest.cs,GetSchemaAndBuildAssemblyTest,The length of the statement  "            Assert.AreEqual( "a'b'c'TestAID'TestB'c'd'e'TestAID'TestA"' string.Join("'"' explorerItems.SelectMany(i => i.Children.Select(c => c.DragText)))); " is 145.
Long Statement,CsvLINQPadDriverTest,SchemaBuilderTest,D:\research\architectureSmells\repos\dobrou_CsvLINQPadDriver\Tests\CsvLINQPadDriverTest\SchemaBuilderTest.cs,GetSchemaAndBuildAssemblyTest,The length of the statement  "            Assert.AreEqual("CsvDataContext'TTestA'TTestB"' string.Join("'"' contextAssembly.GetExportedTypes().Select(t => t.Name))); " is 122.
Magic Number,CsvLINQPadDriverTest,SchemaBuilderTest,D:\research\architectureSmells\repos\dobrou_CsvLINQPadDriver\Tests\CsvLINQPadDriverTest\SchemaBuilderTest.cs,GetSchemaAndBuildAssemblyTest,The following statement contains a magic number: Assert.AreEqual( 3' explorerItems.Count' "explorer items count");
