Namespace,Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In,Fan-Out types,Fan-In types
IdentityManager.AspNetIdentity,TokenProvider<TUser;TKey>,0,4,0,0,4,21,4,0,0,-1,0,1,,IdentityManager.AspNetIdentity.AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,5,46,1,0,31,684,122,0,0,0.37,1,0,IdentityManager.AspNetIdentity.TokenProvider<TUser;TKey>,
