Namespace,Type,Method,LOC,CC,PC
IdentityManager.AspNetIdentity,TokenProvider<TUser;TKey>,GenerateAsync,3,1,3
IdentityManager.AspNetIdentity,TokenProvider<TUser;TKey>,IsValidProviderForUserAsync,3,1,2
IdentityManager.AspNetIdentity,TokenProvider<TUser;TKey>,NotifyAsync,3,1,3
IdentityManager.AspNetIdentity,TokenProvider<TUser;TKey>,ValidateAsync,3,1,4
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,AspNetIdentityManagerService,49,17,4
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,AspNetIdentityManagerService,3,1,5
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,AspNetIdentityManagerService,2,1,5
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,AspNetIdentityManagerService,3,1,5
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,ParseString,3,1,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,ParseInt,5,2,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,ParseLong,5,2,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,ParseGuid,5,2,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,ParseUInt32,5,2,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,GetStandardMetadata,54,7,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,GetMetadataForClaim,3,1,4
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,GetForClaim,3,1,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,SetForClaim,23,1,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,SetPassword,9,2,2
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,GetEmail,3,1,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,SetEmail,19,4,2
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,GetPhone,3,1,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,SetPhone,19,4,2
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,GetTwoFactorEnabled,3,1,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,SetTwoFactorEnabled,8,2,2
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,GetLockoutEnabled,3,1,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,SetLockoutEnabled,8,2,2
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,GetLockedOut,3,1,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,SetLockedOut,19,4,2
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,GetMetadataAsync,3,1,0
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,QueryUsersAsync,32,2,3
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,DisplayNameFromUser,12,3,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,CreateUserAsync,25,4,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,DeleteUserAsync,14,3,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,GetUserAsync,34,4,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,SetUserPropertyAsync,25,5,3
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,AddUserClaimAsync,18,4,3
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,RemoveUserClaimAsync,14,3,3
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,ValidateUserProperty,3,1,2
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,GetUserProperty,8,2,2
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,SetUserProperty,8,2,4
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,ValidateSupportsRoles,6,2,0
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,CreateRoleAsync,24,4,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,DeleteRoleAsync,15,3,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,GetRoleAsync,25,2,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,QueryRolesAsync,35,4,3
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,SetRolePropertyAsync,26,5,3
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,ValidateRoleProperties,3,1,1
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,ValidateRoleProperty,3,1,2
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,GetRoleProperty,8,2,2
IdentityManager.AspNetIdentity,AspNetIdentityManagerService<TUser;TUserKey;TRole;TRoleKey>,SetRoleProperty,8,2,4
