Implementation smell,Namespace,Class,File,Method,Description
Long Statement,AndroidAgent.UITests,Tests,D:\research\architectureSmells\repos\xamarin_benchmarker\tools\AndroidAgent.UITests\Tests.cs,RunBenchmarkHelper,The length of the statement  "					app.WaitForNoElement (c => c.Marked ("myButton").Text ("running")' "Benchmark is taking too long"' TimeSpan.FromMinutes (179)); " is 127.
Magic Number,AndroidAgent.UITests,Tests,D:\research\architectureSmells\repos\xamarin_benchmarker\tools\AndroidAgent.UITests\Tests.cs,BeforeEachTest,The following statement contains a magic number: System.Threading.Thread.Sleep (100);
Magic Number,AndroidAgent.UITests,Tests,D:\research\architectureSmells\repos\xamarin_benchmarker\tools\AndroidAgent.UITests\Tests.cs,RunBenchmarkHelper,The following statement contains a magic number: app.WaitForNoElement (c => c.Marked ("myButton").Text ("running")' "Benchmark is taking too long"' TimeSpan.FromMinutes (179));
