Implementation smell,Namespace,Class,File,Method,Description
Long Identifier,Caliburn.Micro,DefaultCloseStrategy,F:\newReposMay17\Caliburn-Micro_Caliburn.Micro\src\Caliburn.Micro\DefaultCloseStrategy.cs,DefaultCloseStrategy,The length of the parameter closeConductedItemsWhenConductorCannotClose is 43.
Long Statement,Caliburn.Micro,EventAggregatorExtensions,F:\newReposMay17\Caliburn-Micro_Caliburn.Micro\src\Caliburn.Micro\EventAggregatorExtensions.cs,PublishOnBackgroundThread,The length of the statement  "	eventAggregator.Publish (message' action => Task.Factory.StartNew (action' CancellationToken.None' TaskCreationOptions.None' TaskScheduler.Default)); " is 149.
Long Statement,Caliburn.Micro,SimpleContainer,F:\newReposMay17\Caliburn-Micro_Caliburn.Micro\src\Caliburn.Micro\SimpleContainer.cs,GetEntry,The length of the statement  "		return entries.FirstOrDefault (x => x.Service == service && x.Key == null) ?? entries.FirstOrDefault (x => x.Service == service); " is 129.
Long Statement,Caliburn.Micro,TaskResult,F:\newReposMay17\Caliburn-Micro_Caliburn.Micro\src\Caliburn.Micro\TaskResult.cs,Execute,The length of the statement  "		innerTask.ContinueWith (OnCompleted' System.Threading.SynchronizationContext.Current != null ? TaskScheduler.FromCurrentSynchronizationContext () : TaskScheduler.Current); " is 171.
Long Statement,Caliburn.Micro,WeakValueDictionary,F:\newReposMay17\Caliburn-Micro_Caliburn.Micro\src\Caliburn.Micro\WeakValueDictionary.cs,GetEnumerator,The length of the statement  "	var enumerable = inner.Select (pair => new KeyValuePair<TKey' TValue> (pair.Key' (TValue)pair.Value.Target)).Where (pair => pair.Value != null); " is 144.
Long Statement,Caliburn.Micro,WeakValueDictionary,F:\newReposMay17\Caliburn-Micro_Caliburn.Micro\src\Caliburn.Micro\WeakValueDictionary.cs,CopyTo,The length of the statement  "		throw new ArgumentException ("The number of elements in the source collection is greater than the available space from arrayIndex to the end of the destination array."); " is 169.
