Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Scenario.Functional.App.Views,ShellView,D:\research\architectureSmells\repos\Caliburn-Micro_Caliburn.Micro\samples\scenarios\Scenario.Functional.App\Views\ShellView.xaml.cs,InitializeComponent,The length of the statement  "            System.Uri resourceLocater = new System.Uri("/Scenario.Functional.App;component/views/shellview.xaml"' System.UriKind.Relative); " is 128.
Long Statement,XamlGeneratedNamespace,GeneratedInternalTypeHelper,D:\research\architectureSmells\repos\Caliburn-Micro_Caliburn.Micro\samples\scenarios\Scenario.Functional.App\obj\Debug\GeneratedInternalTypeHelper.g.cs,CreateInstance,The length of the statement  "            return System.Activator.CreateInstance(type' ((System.Reflection.BindingFlags.Public | System.Reflection.BindingFlags.NonPublic)  " is 128.
Magic Number,Scenario.Functional.App.Views,ShellView,D:\research\architectureSmells\repos\Caliburn-Micro_Caliburn.Micro\samples\scenarios\Scenario.Functional.App\Views\ShellView.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.DisplayName = ((System.Windows.Controls.TextBlock)(target));              return;              case 2:              this.Name = ((System.Windows.Controls.TextBox)(target));              return;              case 3:              this.SayHello = ((System.Windows.Controls.Button)(target));              return;              }
Magic Number,Scenario.Functional.App.Views,ShellView,D:\research\architectureSmells\repos\Caliburn-Micro_Caliburn.Micro\samples\scenarios\Scenario.Functional.App\Views\ShellView.xaml.cs,Connect,The following statement contains a magic number: switch (connectionId)              {              case 1:              this.DisplayName = ((System.Windows.Controls.TextBlock)(target));              return;              case 2:              this.Name = ((System.Windows.Controls.TextBox)(target));              return;              case 3:              this.SayHello = ((System.Windows.Controls.Button)(target));              return;              }
Missing Default,Scenario.Functional.App.Views,ShellView,D:\research\architectureSmells\repos\Caliburn-Micro_Caliburn.Micro\samples\scenarios\Scenario.Functional.App\Views\ShellView.xaml.cs,Connect,The following switch statement is missing a default case: switch (connectionId)              {              case 1:              this.DisplayName = ((System.Windows.Controls.TextBlock)(target));              return;              case 2:              this.Name = ((System.Windows.Controls.TextBox)(target));              return;              case 3:              this.SayHello = ((System.Windows.Controls.Button)(target));              return;              }
