Implementation smell,Namespace,Class,File,Method,Description
Magic Number,NWVDNUG_Meeting_Info_v2,App,C:\repos\mikescott8_nwvdnug_forms\NWVDNUG Meeting Info v2\NWVDNUG Meeting Info v2\NWVDNUG_Meeting_Info_v2\App.cs,GetMainPage,The following statement contains a magic number: return new ContentPage {  	BindingContext = vm'  	Content = new StackLayout {  		Padding = 3'  		Spacing = 4'  		Children =  {  			new Label {  				Text = "Hello' Forms !"'  				VerticalOptions = LayoutOptions.CenterAndExpand'  				HorizontalOptions = LayoutOptions.CenterAndExpand'  			}'  			refresh'  			countLabel  		}  	}  };  
Magic Number,NWVDNUG_Meeting_Info_v2,App,C:\repos\mikescott8_nwvdnug_forms\NWVDNUG Meeting Info v2\NWVDNUG Meeting Info v2\NWVDNUG_Meeting_Info_v2\App.cs,GetMainPage,The following statement contains a magic number: return new ContentPage {  	BindingContext = vm'  	Content = new StackLayout {  		Padding = 3'  		Spacing = 4'  		Children =  {  			new Label {  				Text = "Hello' Forms !"'  				VerticalOptions = LayoutOptions.CenterAndExpand'  				HorizontalOptions = LayoutOptions.CenterAndExpand'  			}'  			refresh'  			countLabel  		}  	}  };  
