Implementation smell,Namespace,Class,File,Method,Description
Long Statement,clipr.Sample,Program,D:\newReposJune17\nemec_clipr\clipr.Sample\Program.cs,Fluent,The length of the statement  "	new CliParserBuilder<Options> (opt).HasNamedArgument (o => o.Verbosity).WithShortName ('v').CountsInvocations ().And.HasNamedArgument (o => o.OutputFile).WithShortName ().And.HasPositionalArgumentList (o => o.Numbers).HasDescription ("These are numbers.").Consumes.AtLeast (1).And.Parser.Parse (args); " is 301.
Long Statement,clipr.Sample,Program,D:\newReposJune17\nemec_clipr\clipr.Sample\Program.cs,FluentWithVerb,The length of the statement  "	new CliParserBuilder<VerbTestOptions> (opt).HasNamedArgument (c => c.NumCounters).WithShortName ().And.HasVerb ("add"' c => c.AddInfo' new CliParserBuilder<VerbSubOptions> (new VerbSubOptions ()).HasPositionalArgument (c => c.Filename).And).And.Parser.Parse (args); " is 265.
