Implementation smell,Namespace,Class,File,Method,Description
Complex Method,DatabaseCreator,Program,D:\research\architectureSmells\repos\7digital_DatabaseMigraine\src\DatabaseCreator\Program.cs,Main,Cyclomatic complexity of the method is 8
Long Statement,DatabaseCreator,Program,D:\research\architectureSmells\repos\7digital_DatabaseMigraine\src\DatabaseCreator\Program.cs,Main,The length of the statement  "				if (args.Length < 1 || args.Length > 2 || (args.Length == 2 && !args[1].Contains("--config:") && !args[1].Contains("--databaseName:"))) " is 135.
Complex Conditional,DatabaseCreator,Program,D:\research\architectureSmells\repos\7digital_DatabaseMigraine\src\DatabaseCreator\Program.cs,Main,The conditional expression  "args.Length < 1 || args.Length > 2 || (args.Length == 2 && !args[1].Contains("--config:") && !args[1].Contains("--databaseName:"))"  is complex.
Magic Number,DatabaseCreator,Program,D:\research\architectureSmells\repos\7digital_DatabaseMigraine\src\DatabaseCreator\Program.cs,Main,The following statement contains a magic number: args.Length < 1 || args.Length > 2 || (args.Length == 2 && !args[1].Contains("--config:") && !args[1].Contains("--databaseName:"))
Magic Number,DatabaseCreator,Program,D:\research\architectureSmells\repos\7digital_DatabaseMigraine\src\DatabaseCreator\Program.cs,Main,The following statement contains a magic number: args.Length < 1 || args.Length > 2 || (args.Length == 2 && !args[1].Contains("--config:") && !args[1].Contains("--databaseName:"))
