Implementation smell,Namespace,Class,File,Method,Description
Long Method,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The method has 186 lines of code.
Long Method,Orchard.Fields.Specs,DateTimeFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\DateTime.feature.cs,CreatingAndUsingDateFields,The method has 321 lines of code.
Long Method,Orchard.Fields.Specs,DateTimeFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\DateTime.feature.cs,CreatingAndUsingDateTimeFieldsInAnotherCulture,The method has 134 lines of code.
Long Method,Orchard.Fields.Specs,EnumerationFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Enumeration.feature.cs,CreatingAndUsingEnumerationFields,The method has 229 lines of code.
Long Method,Orchard.Fields.Specs,InputFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Input.feature.cs,CreatingAndUsingInputFields,The method has 259 lines of code.
Long Method,Orchard.Fields.Specs,LinkFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Link.feature.cs,CreatingAndUsingLinkFields,The method has 156 lines of code.
Long Method,Orchard.Fields.Specs,MediaPickerFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Media.feature.cs,CreatingAndUsingMediaFields,The method has 181 lines of code.
Long Method,Orchard.Fields.Specs,NumericFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Numeric.feature.cs,CreatingAndUsingNumericFields,The method has 225 lines of code.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Boolean.feature.cs,FeatureSetup,The length of the statement  "	TechTalk.SpecFlow.FeatureInfo featureInfo = new TechTalk.SpecFlow.FeatureInfo (new System.Globalization.CultureInfo ("en-US")' "Boolean Field"' "  In order to add boolean content to my types\r\nAs an administrator\r\n  I want to c" + "reate' edit and publish boolean fields"' ProgrammingLanguage.CSharp' ((string[])(null))); " is 324.
Long Statement,Orchard.Fields.Specs,BooleanFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Boolean.feature.cs,CreatingAndUsingBooleanFields,The length of the statement  "	TechTalk.SpecFlow.ScenarioInfo scenarioInfo = new TechTalk.SpecFlow.ScenarioInfo ("Creating and using Boolean fields"' ((string[])(null))); " is 139.
Long Statement,Orchard.Fields.Specs,DateTimeFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\DateTime.feature.cs,FeatureSetup,The length of the statement  "	TechTalk.SpecFlow.FeatureInfo featureInfo = new TechTalk.SpecFlow.FeatureInfo (new System.Globalization.CultureInfo ("en-US")' "DateTime Field"' "  In order to add Date content to my types\r\nAs an administrator\r\n  I want to crea" + "te' edit and publish DateTime fields"' ProgrammingLanguage.CSharp' ((string[])(null))); " is 323.
Long Statement,Orchard.Fields.Specs,DateTimeFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\DateTime.feature.cs,CreatingAndUsingDateFields,The length of the statement  "	TechTalk.SpecFlow.ScenarioInfo scenarioInfo = new TechTalk.SpecFlow.ScenarioInfo ("Creating and using Date fields"' ((string[])(null))); " is 136.
Long Statement,Orchard.Fields.Specs,DateTimeFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\DateTime.feature.cs,CreatingAndUsingDateTimeFieldsInAnotherCulture,The length of the statement  "	TechTalk.SpecFlow.ScenarioInfo scenarioInfo = new TechTalk.SpecFlow.ScenarioInfo ("Creating and using date time fields in another culture"' ((string[])(null))); " is 160.
Long Statement,Orchard.Fields.Specs,DateTimeFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\DateTime.feature.cs,CreatingAndUsingDateTimeFieldsInAnotherCulture,The length of the statement  "	testRunner.And ("I have the file \"Content\\orchard.core.po\" in \"Core\\App_Data\\Localization\\fr-FR\\or" + "chard.core.po\""); " is 129.
Long Statement,Orchard.Fields.Specs,EnumerationFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Enumeration.feature.cs,FeatureSetup,The length of the statement  "	TechTalk.SpecFlow.FeatureInfo featureInfo = new TechTalk.SpecFlow.FeatureInfo (new System.Globalization.CultureInfo ("en-US")' "Enumeration Field"' "  In order to add a list of elements to my types\r\nAs an administrator\r\n  I want t" + "o create' edit and publish Enumeration fields"' ProgrammingLanguage.CSharp' ((string[])(null))); " is 335.
Long Statement,Orchard.Fields.Specs,EnumerationFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Enumeration.feature.cs,CreatingAndUsingEnumerationFields,The length of the statement  "	TechTalk.SpecFlow.ScenarioInfo scenarioInfo = new TechTalk.SpecFlow.ScenarioInfo ("Creating and using Enumeration fields"' ((string[])(null))); " is 143.
Long Statement,Orchard.Fields.Specs,EnumerationFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Enumeration.feature.cs,CreatingAndUsingEnumerationFields,The length of the statement  "	testRunner.Then ("I should see \"input id=\\\"Event_Location_Value\\\" name=\\\"Event.Location.Value\\\" typ" + "e=\\\"radio\\\"\""); " is 133.
Long Statement,Orchard.Fields.Specs,EnumerationFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Enumeration.feature.cs,CreatingAndUsingEnumerationFields,The length of the statement  "	testRunner.Then ("I should see \"select id=\\\"Event_Location_SelectedValues\\\" multiple=\\\"multiple\\\" n" + "ame=\\\"Event.Location.SelectedValues\\\"\""); " is 159.
Long Statement,Orchard.Fields.Specs,InputFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Input.feature.cs,FeatureSetup,The length of the statement  "	TechTalk.SpecFlow.FeatureInfo featureInfo = new TechTalk.SpecFlow.FeatureInfo (new System.Globalization.CultureInfo ("en-US")' "Input Field"' "  In order to add an input to my types\r\nAs an administrator\r\n  I want to create' " + "edit and publish input fields"' ProgrammingLanguage.CSharp' ((string[])(null))); " is 313.
Long Statement,Orchard.Fields.Specs,InputFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Input.feature.cs,CreatingAndUsingInputFields,The length of the statement  "	TechTalk.SpecFlow.ScenarioInfo scenarioInfo = new TechTalk.SpecFlow.ScenarioInfo ("Creating and using Input fields"' ((string[])(null))); " is 137.
Long Statement,Orchard.Fields.Specs,LinkFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Link.feature.cs,FeatureSetup,The length of the statement  "	TechTalk.SpecFlow.FeatureInfo featureInfo = new TechTalk.SpecFlow.FeatureInfo (new System.Globalization.CultureInfo ("en-US")' "Link Field"' "  In order to add Link content to my types\r\nAs an administrator\r\n  I want to crea" + "te' edit and publish Link fields"' ProgrammingLanguage.CSharp' ((string[])(null))); " is 315.
Long Statement,Orchard.Fields.Specs,LinkFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Link.feature.cs,CreatingAndUsingLinkFields,The length of the statement  "	TechTalk.SpecFlow.ScenarioInfo scenarioInfo = new TechTalk.SpecFlow.ScenarioInfo ("Creating and using Link fields"' ((string[])(null))); " is 136.
Long Statement,Orchard.Fields.Specs,MediaPickerFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Media.feature.cs,FeatureSetup,The length of the statement  "	TechTalk.SpecFlow.FeatureInfo featureInfo = new TechTalk.SpecFlow.FeatureInfo (new System.Globalization.CultureInfo ("en-US")' "Media Picker Field"' "  In order to add a media content to my types\r\nAs an administrator\r\n  I want to c" + "reate' edit and publish media fields"' ProgrammingLanguage.CSharp' ((string[])(null))); " is 327.
Long Statement,Orchard.Fields.Specs,MediaPickerFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Media.feature.cs,CreatingAndUsingMediaFields,The length of the statement  "	TechTalk.SpecFlow.ScenarioInfo scenarioInfo = new TechTalk.SpecFlow.ScenarioInfo ("Creating and using media fields"' ((string[])(null))); " is 137.
Long Statement,Orchard.Fields.Specs,NumericFieldFeature,C:\repos\robertbird_BoomJennies\Modules\Orchard.Fields\Specs\Numeric.feature.cs,FeatureSetup,The length of the statement  "	TechTalk.SpecFlow.FeatureInfo featureInfo = new TechTalk.SpecFlow.FeatureInfo (new System.Globalization.CultureInfo ("en-US")' "Numeric Field"' "  In order to add numeric content to my types\r\nAs an adminitrator\r\n  I want to cr" + "eate' edit and publish numeric fields"' ProgrammingLanguage.CSharp' ((string[])(null))); " is 323.
