Implementation smell,Namespace,Class,File,Method,Description
Long Statement,IntegrationTests.Plugin,TfsFixture,D:\research\architectureSmells\repos1\tfsaggregator_tfsaggregator\IntegrationTests.Plugin\Helpers\TfsFixture.cs,ExecSql,The length of the statement  "            string connString = string.Format(@"Data Source={0};Initial Catalog=master;Integrated Security=True"' this.SQLInstance); " is 120.
Long Statement,IntegrationTests.Plugin,TfsFixture,D:\research\architectureSmells\repos1\tfsaggregator_tfsaggregator\IntegrationTests.Plugin\Helpers\TfsFixture.cs,DropCollectionDatabase,The length of the statement  "            ExecSql(string.Format(@"ALTER DATABASE [Tfs_{0}] SET  SINGLE_USER WITH ROLLBACK IMMEDIATE; DROP DATABASE [Tfs_{0}]"' this.CollectionName)); " is 139.
Long Statement,IntegrationTests.Plugin,TfsFixture,D:\research\architectureSmells\repos1\tfsaggregator_tfsaggregator\IntegrationTests.Plugin\Helpers\TfsFixture.cs,RestoreCollectionDatabase,The length of the statement  "            ExecSql(string.Format(@"CREATE DATABASE [Tfs_{0}] ON (FILENAME = N'{1}\Tfs_{0}.mdf')' (FILENAME = N'{1}\Tfs_{0}_log.ldf') FOR ATTACH"' this.CollectionName' this.SQLDataDir)); " is 174.
Long Statement,IntegrationTests.Plugin,TfsFixture,D:\research\architectureSmells\repos1\tfsaggregator_tfsaggregator\IntegrationTests.Plugin\Helpers\TfsFixture.cs,RestoreCollectionDatabase,The length of the statement  "            Run(this.TfsConfigExePath' string.Format(@"collection /attach /collectionDb:{1};Tfs_{0} /noprompt"' this.CollectionName' this.SQLInstance)); " is 140.
Magic Number,IntegrationTests.Plugin,TfsFixture,D:\research\architectureSmells\repos1\tfsaggregator_tfsaggregator\IntegrationTests.Plugin\Helpers\TfsFixture.cs,Run,The following statement contains a magic number: proc.WaitForExit(5000);
Magic Number,IntegrationTests.Plugin,TfsFixture,D:\research\architectureSmells\repos1\tfsaggregator_tfsaggregator\IntegrationTests.Plugin\Helpers\TfsFixture.cs,ExecSql,The following statement contains a magic number: cmd.CommandTimeout = 5000;
Magic Number,IntegrationTests.Plugin,NewObjectsTests,D:\research\architectureSmells\repos1\tfsaggregator_tfsaggregator\IntegrationTests.Plugin\NewObjectsTests.cs,NewLink_succeeds,The following statement contains a magic number: Thread.Sleep(3000);
Magic Number,IntegrationTests.Plugin,NewObjectsTests,D:\research\architectureSmells\repos1\tfsaggregator_tfsaggregator\IntegrationTests.Plugin\NewObjectsTests.cs,NewTask_succeeds,The following statement contains a magic number: Thread.Sleep(4000);
