Implementation smell,Namespace,Class,File,Method,Description
Complex Method,RazorBurn,RazorTemplate,C:\repos\smack0007_RazorBurn\Source\RazorBurn\RazorTemplate.cs,WriteAttribute,Cyclomatic complexity of the method is 10
Long Statement,RazorBurn,AttributeValue,C:\repos\smack0007_RazorBurn\Source\RazorBurn\AttributeValue.cs,FromTuple,The length of the statement  "	return new AttributeValue (value.Item1' new PositionTagged<object> (value.Item2.Item1' value.Item2.Item2)' value.Item3); " is 120.
Long Statement,RazorBurn,RazorCompiler,C:\repos\smack0007_RazorBurn\Source\RazorBurn\RazorCompiler.cs,GenerateSource,The length of the statement  "		throw new RazorCompilationException ("There were errors while generating code for the template. See the Errors array."' template' errors); " is 138.
Long Statement,RazorBurn,RazorCompiler,C:\repos\smack0007_RazorBurn\Source\RazorBurn\RazorCompiler.cs,CompileAssembly,The length of the statement  "	var executeMethod = syntaxTree.GetRoot ().DescendantNodes ().OfType<MethodDeclarationSyntax> ().Where (x => x.Identifier.ToString () == "Execute").Single (); " is 157.
Long Statement,RazorBurn,RazorCompiler,C:\repos\smack0007_RazorBurn\Source\RazorBurn\RazorCompiler.cs,CompileAssembly,The length of the statement  "	var newExecuteMethod = executeMethod.WithModifiers (SyntaxFactory.TokenList (SyntaxFactory.Token (SyntaxFactory.TriviaList ()' SyntaxKind.ProtectedKeyword' SyntaxFactory.TriviaList (SyntaxFactory.Whitespace (" ")))' SyntaxFactory.Token (SyntaxFactory.TriviaList ()' SyntaxKind.OverrideKeyword' SyntaxFactory.TriviaList (SyntaxFactory.Whitespace (" "))))); " is 355.
Long Statement,RazorBurn,RazorCompiler,C:\repos\smack0007_RazorBurn\Source\RazorBurn\RazorCompiler.cs,CompileAssembly,The length of the statement  "	var compilation = CSharpCompilation.Create (assemblyName).WithOptions (new CSharpCompilationOptions (OutputKind.DynamicallyLinkedLibrary)); " is 139.
Long Statement,RazorBurn,RazorCompiler,C:\repos\smack0007_RazorBurn\Source\RazorBurn\RazorCompiler.cs,CompileAssembly,The length of the statement  "	compilation = compilation.AddReferences (new MetadataFileReference (Assembly.GetExecutingAssembly ().Location)).AddReferences (new MetadataFileReference (baseTemplateType.Assembly.Location)); " is 191.
Long Statement,RazorBurn,RazorCompiler,C:\repos\smack0007_RazorBurn\Source\RazorBurn\RazorCompiler.cs,CompileAssembly,The length of the statement  "			compilation = compilation.AddReferences (new MetadataFileReference (Path.Combine (assemblyLocation' assemblyReference.Name))); " is 126.
Long Statement,RazorBurn,RazorCompiler,C:\repos\smack0007_RazorBurn\Source\RazorBurn\RazorCompiler.cs,CompileAssembly,The length of the statement  "			throw new RazorCompilationException ("There were errors while compiling the template. See the Errors array."' source' result.Diagnostics.Select (x => x.ToString ()).ToArray ()); " is 177.
