Implementation smell,Namespace,Class,File,Method,Description
Complex Conditional,Chartboost,CBManager,C:\repos\c4mprod_UnityCBMAT\ProjectApplicationTestCB1\Assets\Plugins\Chartboost\CBManager.cs,impressionErrorFromInt,The conditional expression  "error < 0 || error > 9 || (ios && error > 8) // out of bounds  || error == 4 || error == 7 || (ios && error == 8)"  is complex.
Magic Number,Chartboost,CBManager,C:\repos\c4mprod_UnityCBMAT\ProjectApplicationTestCB1\Assets\Plugins\Chartboost\CBManager.cs,impressionErrorFromInt,The following statement contains a magic number: if (error < 0 || error > 9 || (ios && error > 8) // out of bounds  || error == 4 || error == 7 || (ios && error == 8))  	// unused enums: interstitialsDisabledOnFirstSession' sessionNotStarted' ageGateFailure  	return CBImpressionError.Internal;  else  	return (CBImpressionError)error;  
Magic Number,Chartboost,CBManager,C:\repos\c4mprod_UnityCBMAT\ProjectApplicationTestCB1\Assets\Plugins\Chartboost\CBManager.cs,impressionErrorFromInt,The following statement contains a magic number: if (error < 0 || error > 9 || (ios && error > 8) // out of bounds  || error == 4 || error == 7 || (ios && error == 8))  	// unused enums: interstitialsDisabledOnFirstSession' sessionNotStarted' ageGateFailure  	return CBImpressionError.Internal;  else  	return (CBImpressionError)error;  
Magic Number,Chartboost,CBManager,C:\repos\c4mprod_UnityCBMAT\ProjectApplicationTestCB1\Assets\Plugins\Chartboost\CBManager.cs,impressionErrorFromInt,The following statement contains a magic number: if (error < 0 || error > 9 || (ios && error > 8) // out of bounds  || error == 4 || error == 7 || (ios && error == 8))  	// unused enums: interstitialsDisabledOnFirstSession' sessionNotStarted' ageGateFailure  	return CBImpressionError.Internal;  else  	return (CBImpressionError)error;  
Magic Number,Chartboost,CBManager,C:\repos\c4mprod_UnityCBMAT\ProjectApplicationTestCB1\Assets\Plugins\Chartboost\CBManager.cs,impressionErrorFromInt,The following statement contains a magic number: if (error < 0 || error > 9 || (ios && error > 8) // out of bounds  || error == 4 || error == 7 || (ios && error == 8))  	// unused enums: interstitialsDisabledOnFirstSession' sessionNotStarted' ageGateFailure  	return CBImpressionError.Internal;  else  	return (CBImpressionError)error;  
Magic Number,Chartboost,CBManager,C:\repos\c4mprod_UnityCBMAT\ProjectApplicationTestCB1\Assets\Plugins\Chartboost\CBManager.cs,impressionErrorFromInt,The following statement contains a magic number: if (error < 0 || error > 9 || (ios && error > 8) // out of bounds  || error == 4 || error == 7 || (ios && error == 8))  	// unused enums: interstitialsDisabledOnFirstSession' sessionNotStarted' ageGateFailure  	return CBImpressionError.Internal;  else  	return (CBImpressionError)error;  
