Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Bike.Console,Program,C:\repos\buunguyen_bike\src\Bike.Console\Program.cs,Main,The length of the statement  "                                "h|home="' "(optional) The path to Bike's installation folder.  If not specified' BIKE_HOME env variable must exist and will be used."' " is 135.
Long Statement,Bike.Console,Program,C:\repos\buunguyen_bike\src\Bike.Console\Program.cs,Main,The length of the statement  "                                "l|libs="' "(optional) Semi-colon separated list of paths to extra library folders.  If not specified' BIKE_LIBS env variable will be used if it exists."' " is 154.
