Implementation smell,Namespace,Class,File,Method,Description
Long Identifier,GitHubForOutlookAddin.Features,TaskPaneContentHost,D:\research\architectureSmells\repos\JakeGinnivan_VSTOContrib\src\Samples\Outlook\GitHubForOutlookAddin\Features\TaskPaneContentHost.xaml.cs,ContentItemsOnCollectionChanged,The length of the parameter notifyCollectionChangedEventArgs is 32.
Long Statement,GitHubForOutlookAddin,ThisAddIn,D:\research\architectureSmells\repos\JakeGinnivan_VSTOContrib\src\Samples\Outlook\GitHubForOutlookAddin\ThisAddIn.cs,Initialize,The length of the statement  "            this.Application = this.GetHostItem<Microsoft.Office.Interop.Outlook.Application>(typeof(Microsoft.Office.Interop.Outlook.Application)' "Application"); " is 151.
Long Statement,GitHubForOutlookAddin,ThisAddIn,D:\research\architectureSmells\repos\JakeGinnivan_VSTOContrib\src\Samples\Outlook\GitHubForOutlookAddin\ThisAddIn.cs,InitializeControls,The length of the statement  "            this.CustomTaskPanes = Globals.Factory.CreateCustomTaskPaneCollection(null' null' "CustomTaskPanes"' "CustomTaskPanes"' this); " is 126.
Long Statement,GitHubForOutlookAddin.Features.CreateIssue,CreateIssueViewModel,D:\research\architectureSmells\repos\JakeGinnivan_VSTOContrib\src\Samples\Outlook\GitHubForOutlookAddin\Features\CreateIssue\CreateIssueViewModel.cs,CreateIssue,The length of the statement  "                var createdIssue = await new CreateIssuesApi(githubApi.Context).CreateIssue(SelectedRepository' IssueTitle' IssueDescription); " is 126.
Missing Default,GitHubForOutlookAddin.Ribbons,GithubExplorerRibbon,D:\research\architectureSmells\repos\JakeGinnivan_VSTOContrib\src\Samples\Outlook\GitHubForOutlookAddin\Ribbons\GithubExplorerRibbon.cs,GetImage,The following switch statement is missing a default case: switch (control.Id)              {                  case "createTask":                      {                          return Properties.Resources.gtfo32x32;                      }              }
