Project,Namespace,Ca types,Ce types
RiotSharp,RiotSharp.Endpoints.MatchEndpoint.Enums.Converters,RiotSharp.Endpoints.MatchEndpoint.Enums.AscendedType' RiotSharp.Endpoints.MatchEndpoint.Enums.BuildingType' RiotSharp.Endpoints.MatchEndpoint.Enums.CapturedPoint' RiotSharp.Endpoints.MatchEndpoint.Enums.LaneType' RiotSharp.Endpoints.MatchEndpoint.Enums.LevelUpType' RiotSharp.Endpoints.MatchEndpoint.Enums.MatchEventType' RiotSharp.Endpoints.MatchEndpoint.Enums.MonsterSubType' RiotSharp.Endpoints.MatchEndpoint.Enums.MonsterType' RiotSharp.Endpoints.MatchEndpoint.Enums.Season' RiotSharp.Endpoints.MatchEndpoint.Enums.TowerType' RiotSharp.Endpoints.MatchEndpoint.Enums.WardType,RiotSharp.Endpoints.MatchEndpoint.Enums.AscendedType' RiotSharp.Endpoints.MatchEndpoint.Enums.BuildingType' RiotSharp.Endpoints.MatchEndpoint.Enums.CapturedPoint' RiotSharp.Endpoints.MatchEndpoint.Enums.LaneType' RiotSharp.Endpoints.MatchEndpoint.Enums.LevelUpType' RiotSharp.Endpoints.MatchEndpoint.Enums.MatchEventType' RiotSharp.Endpoints.MatchEndpoint.Enums.MonsterSubType' RiotSharp.Endpoints.MatchEndpoint.Enums.MonsterType' RiotSharp.Endpoints.MatchEndpoint.Enums.Season' RiotSharp.Endpoints.MatchEndpoint.Enums.TowerType' RiotSharp.Endpoints.MatchEndpoint.Enums.WardType
RiotSharp,RiotSharp.Endpoints.SpectatorEndpoint,RiotSharp.Endpoints.Interfaces.ISpectatorEndpoint' RiotSharp.RiotApi,RiotSharp.Misc.Converters.DateTimeConverterFromLong' RiotSharp.Misc.Converters.TimeSpanConverterFromSeconds' RiotSharp.Misc.GameType' RiotSharp.Misc.MapType' RiotSharp.Misc.Platform' RiotSharp.Endpoints.Interfaces.ISpectatorEndpoint' RiotSharp.Http.Interfaces.IRateLimitedRequester' RiotSharp.Misc.Region
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Champion,RiotSharp.Endpoints.Interfaces.Static.IStaticChampionEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Champion.Cache.ChampionListStaticWrapper' RiotSharp.Endpoints.StaticDataEndpoint.Champion.Cache.ChampionStaticWrapper' RiotSharp.Endpoints.StaticDataEndpoint.SummonerSpell.SummonerSpellStatic' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointProvider,RiotSharp.Endpoints.StaticDataEndpoint.ImageStatic' RiotSharp.Endpoints.StaticDataEndpoint.SpellVarsStatic' RiotSharp.Endpoints.StaticDataEndpoint.Champion.Enums.Converters.TagStaticListConverter' RiotSharp.Endpoints.StaticDataEndpoint.Champion.Enums.TagStatic' RiotSharp.Caching.ICache' RiotSharp.Endpoints.Interfaces.Static.IStaticChampionEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Champion.Cache.ChampionListStaticWrapper' RiotSharp.Endpoints.StaticDataEndpoint.Champion.Cache.ChampionStaticWrapper' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointBase' RiotSharp.Http.Interfaces.IRequester' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Champion.Cache,RiotSharp.Endpoints.StaticDataEndpoint.Champion.StaticChampionEndpoint,RiotSharp.Endpoints.StaticDataEndpoint.Champion.ChampionListStatic' RiotSharp.Misc.Language' RiotSharp.Endpoints.StaticDataEndpoint.Champion.ChampionStatic
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Champion.Enums.Converters,RiotSharp.Endpoints.StaticDataEndpoint.Champion.ChampionStatic,RiotSharp.Endpoints.StaticDataEndpoint.Champion.Enums.TagStatic
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Champion.Enums,RiotSharp.Endpoints.StaticDataEndpoint.Champion.ChampionStatic' RiotSharp.Endpoints.StaticDataEndpoint.Champion.Enums.Converters.TagStaticListConverter,
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint,RiotSharp.Endpoints.StaticDataEndpoint.ProfileIcons.ProfileIconStatic' RiotSharp.Endpoints.StaticDataEndpoint.Map.MapStatic' RiotSharp.Endpoints.StaticDataEndpoint.Mastery.MasteryStatic' RiotSharp.Endpoints.StaticDataEndpoint.Item.ItemStatic' RiotSharp.Endpoints.StaticDataEndpoint.SummonerSpell.SummonerSpellStatic' RiotSharp.Endpoints.StaticDataEndpoint.Rune.RuneStatic' RiotSharp.Endpoints.StaticDataEndpoint.Champion.PassiveStatic' RiotSharp.Endpoints.StaticDataEndpoint.Champion.ChampionSpellStatic' RiotSharp.Endpoints.StaticDataEndpoint.Champion.ChampionStatic' RiotSharp.RiotApi' RiotSharp.Endpoints.StaticDataEndpoint.ReforgedRune.StaticReforgedRuneEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Realm.StaticRealmEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.LanguageStrings.StaticLanguageEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Map.StaticMapEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.ProfileIcons.StaticProfileIconEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Mastery.StaticMasteryEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.SummonerSpell.StaticSummonerSpellEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Rune.StaticRuneEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Item.StaticItemEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Champion.StaticChampionEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Version.StaticVersionEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.TarballLinks.StaticTarballLinkEndPoint,RiotSharp.Caching.Cache' RiotSharp.Caching.ICache' RiotSharp.Caching.PassThroughCache' RiotSharp.Endpoints.Interfaces.Static.IStaticChampionEndpoint' RiotSharp.Endpoints.Interfaces.Static.IStaticDataEndpoints' RiotSharp.Endpoints.Interfaces.Static.IStaticEndpointProvider' RiotSharp.Endpoints.Interfaces.Static.IStaticItemEndpoint' RiotSharp.Endpoints.Interfaces.Static.IStaticLanguageEndpoint' RiotSharp.Endpoints.Interfaces.Static.IStaticMapEndpoint' RiotSharp.Endpoints.Interfaces.Static.IStaticMasteryEndpoint' RiotSharp.Endpoints.Interfaces.Static.IStaticProfileIconEndpoint' RiotSharp.Endpoints.Interfaces.Static.IStaticRealmEndpoint' RiotSharp.Endpoints.Interfaces.Static.IStaticReforgedRuneEndpoint' RiotSharp.Endpoints.Interfaces.Static.IStaticRuneEndpoint' RiotSharp.Endpoints.Interfaces.Static.IStaticSummonerSpellEndpoint' RiotSharp.Endpoints.Interfaces.Static.IStaticTarballLinkEndPoint' RiotSharp.Endpoints.Interfaces.Static.IStaticVersionEndpoint' RiotSharp.Http.Interfaces.IRequester' RiotSharp.Http.Requester' RiotSharp.Http.Requesters' RiotSharp.Endpoints.Interfaces.Static.IStaticEndpoint' RiotSharp.Misc.Language' RiotSharp.Endpoints.StaticDataEndpoint.Champion.StaticChampionEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Item.StaticItemEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.LanguageStrings.StaticLanguageEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Map.StaticMapEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Mastery.StaticMasteryEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.ProfileIcons.StaticProfileIconEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Realm.StaticRealmEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.ReforgedRune.StaticReforgedRuneEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Rune.StaticRuneEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.SummonerSpell.StaticSummonerSpellEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.TarballLinks.StaticTarballLinkEndPoint' RiotSharp.Endpoints.StaticDataEndpoint.Version.StaticVersionEndpoint
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Item.Cache,RiotSharp.Endpoints.StaticDataEndpoint.Item.StaticItemEndpoint,RiotSharp.Endpoints.StaticDataEndpoint.Item.ItemListStatic' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.Item,RiotSharp.Endpoints.StaticDataEndpoint.Rune.RuneStatic' RiotSharp.Endpoints.Interfaces.Static.IStaticItemEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.Item.Cache.ItemListStaticWrapper' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointProvider,RiotSharp.Endpoints.StaticDataEndpoint.ImageStatic' RiotSharp.Endpoints.StaticDataEndpoint.MetadataStatic' RiotSharp.Endpoints.StaticDataEndpoint.StatsStatic' RiotSharp.Caching.ICache' RiotSharp.Endpoints.Interfaces.Static.IStaticItemEndpoint' RiotSharp.Endpoints.StaticDataEndpoint.StaticEndpointBase' RiotSharp.Endpoints.StaticDataEndpoint.Item.Cache.ItemListStaticWrapper' RiotSharp.Http.Interfaces.IRequester' RiotSharp.Misc.Language
RiotSharp,RiotSharp.Endpoints.StaticDataEndpoint.LanguageStrings.Cache,RiotSharp.Endpoints.StaticDataEndpoint.LanguageStrings.StaticLanguageEndpoint,RiotSharp.Endpoints.StaticDataEndpoint.LanguageStrings.LanguageStringsStatic' RiotSharp.Misc.Language
