Method,LOC,CC,PC
BoolToVisibilityConverter:Convert,19,4,4
BoolToVisibilityConverter:ConvertBack,16,3,4
BoolToVisibilityConverter:ConvertObjectToVisibility,8,2,1
BoolToVisibilityConverter:ConvertObjectToBoolean,18,6,1
DependencyObjectExtensions:FindParentControl,16,4,1
DependencyObjectExtensions:FindChildControl,4,1,1
DependencyObjectExtensions:FindChildControl,33,7,2
