Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Akka.Streams.TestKit,ManualProbe<T>,D:\research\architectureSmells\repos\akkadotnet_akka.net\src\core\Akka.Streams.TestKit\TestPublisher.cs,ExpectNext,The length of the statement  "                _probe.ExpectMsg<OnNext<T>>(x => AssertEquals(x.Element' element' "Expected '{0}'' but got '{1}'"' element' x.Element)); " is 120.
Long Statement,Akka.Streams.TestKit,ManualProbe<T>,D:\research\architectureSmells\repos\akkadotnet_akka.net\src\core\Akka.Streams.TestKit\TestPublisher.cs,ExpectNext,The length of the statement  "                _probe.ExpectMsg<OnNext<T>>(x => AssertEquals(x.Element' element' "Expected '{0}'' but got '{1}'"' element' x.Element)' timeout); " is 129.
Long Statement,Akka.Streams.TestKit,ManualProbe<T>,D:\research\architectureSmells\repos\akkadotnet_akka.net\src\core\Akka.Streams.TestKit\TestPublisher.cs,ExpectNext,The length of the statement  "                _probe.ExpectMsg<OnNext<T>>(x => AssertEquals(x.Element' element' "Expected '{0}'' but got '{1}'"' element' x.Element)' timeout); " is 129.
Long Statement,Akka.Streams.TestKit,ManualProbe<T>,D:\research\architectureSmells\repos\akkadotnet_akka.net\src\core\Akka.Streams.TestKit\TestPublisher.cs,ExpectNextN,The length of the statement  "                    _probe.ExpectMsg<OnNext<T>>(y => AssertEquals(y.Element' x' "Expected one of ({0})' but got '{1}'"' string.Join("' "' all)' y.Element)); " is 136.
Long Statement,Akka.Streams.TestKit,TestSink,D:\research\architectureSmells\repos\akkadotnet_akka.net\src\core\Akka.Streams.TestKit\TestSink.cs,SinkProbe,The length of the statement  "            return new Sink<T' TestSubscriber.Probe<T>>(new StreamTestKit.ProbeSink<T>(testKit' Attributes.None' new SinkShape<T>(new Inlet<T>("ProbeSink.in")))); " is 150.
Long Statement,Akka.Streams.TestKit,TestSource,D:\research\architectureSmells\repos\akkadotnet_akka.net\src\core\Akka.Streams.TestKit\TestSource.cs,SourceProbe,The length of the statement  "            return new Source<T' TestPublisher.Probe<T>>(new StreamTestKit.ProbeSource<T>(testKit' Attributes.None' new SourceShape<T>(new Outlet<T>("ProbeSource.out")))); " is 159.
Magic Number,Akka.Streams.TestKit,ManualProbe<T>,D:\research\architectureSmells\repos\akkadotnet_akka.net\src\core\Akka.Streams.TestKit\TestPublisher.cs,ExpectNext,The following statement contains a magic number: var len = elems.Length + 2;
Magic Number,Akka.Streams.TestKit,ManualProbe<T>,D:\research\architectureSmells\repos\akkadotnet_akka.net\src\core\Akka.Streams.TestKit\TestPublisher.cs,ExpectNext,The following statement contains a magic number: var j = i + 2;
Magic Number,Akka.Streams.TestKit,ManualProbe<T>,D:\research\architectureSmells\repos\akkadotnet_akka.net\src\core\Akka.Streams.TestKit\TestPublisher.cs,ExpectNextUnordered,The following statement contains a magic number: var len = elems.Length + 2;
Missing Default,Akka.Streams.TestKit,ManualProbe<T>,D:\research\architectureSmells\repos\akkadotnet_akka.net\src\core\Akka.Streams.TestKit\TestPublisher.cs,ExpectNext,The following switch statement is missing a default case: switch (_probe.ReceiveOne(t))                  {                      case null:                          throw new Exception($"Expected OnNext(_)' yet no element signaled during {timeout}");                      case OnNext<T> message:                          return message.Element;                      case var other:                          throw new Exception($"expected OnNext' found {other}");                  }
