Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,BasicSample.Core.DataInterfaces,IOrderDao,C:\repos\JamesKovacs_nhcontrib\Examples\NHBestPractices\BasicSampleWithBurrowAppBlock\BasicSample.Core\DataInterfaces\IOrderDao.cs,GetOrdersPlacedBetween,The method has 5 parameters.
Long Statement,BasicSample.Core.Domain,DomainObject,C:\repos\JamesKovacs_nhcontrib\Examples\NHBestPractices\BasicSampleWithBurrowAppBlock\BasicSample.Core\Domain\DomainObject.cs,Equals,The length of the statement  "	return (compareTo != null) && (HasSameNonDefaultIdAs (compareTo) || // Since the IDs aren't the same' either of them must be transient to  " is 137.
Long Statement,BasicSample.Core.Domain,DomainObject,C:\repos\JamesKovacs_nhcontrib\Examples\NHBestPractices\BasicSampleWithBurrowAppBlock\BasicSample.Core\Domain\DomainObject.cs,HasSameNonDefaultIdAs,The length of the statement  "	return (ID != null && !ID.Equals (default(IdT))) && (compareTo.ID != null && !compareTo.ID.Equals (default(IdT))) && ID.Equals (compareTo.ID); " is 142.
Long Statement,BasicSample.Core.Domain,Order,C:\repos\JamesKovacs_nhcontrib\Examples\NHBestPractices\BasicSampleWithBurrowAppBlock\BasicSample.Core\Domain\Order.cs,GetHashCode,The length of the statement  "	return (GetType ().FullName + "|" + ShipToName + "|" + (OrderDate ?? DateTime.MinValue).GetHashCode () + "|" + OrderedBy.GetHashCode ()).GetHashCode (); " is 152.
Magic Number,BasicSample.Core.Domain,Customer,C:\repos\JamesKovacs_nhcontrib\Examples\NHBestPractices\BasicSampleWithBurrowAppBlock\BasicSample.Core\Domain\Customer.cs,SetAssignedIdTo,The following statement contains a magic number: Check.Require (assignedId.Trim ().Length == 5' "assignedId must be exactly 5 characters");  
