Implementation smell,Namespace,Class,File,Method,Description
Magic Number,NHibernate.UserTypes.SqlTypes,SqlBinaryType,C:\repos\JamesKovacs_nhcontrib\src\NHibernate.UserTypes.SqlTypes\src\NHibernate.UserTypes.SqlTypes\SqlBinaryType.cs,FromStringValue,The following statement contains a magic number: if (xml.Length % 2 != 0) {  	throw new ArgumentException ("The string is not a valid xml representation of a binary content."' "xml");  }  
Magic Number,NHibernate.UserTypes.SqlTypes,SqlBinaryType,C:\repos\JamesKovacs_nhcontrib\src\NHibernate.UserTypes.SqlTypes\src\NHibernate.UserTypes.SqlTypes\SqlBinaryType.cs,FromStringValue,The following statement contains a magic number: for (int i = 0; i < bytes.Length; i++) {  	string hexStr = xml.Substring (i * 2' (i + 1) * 2);  	bytes [i] = (byte)(byte.MinValue + byte.Parse (hexStr' NumberStyles.HexNumber));  }  
Magic Number,NHibernate.UserTypes.SqlTypes,SqlBinaryType,C:\repos\JamesKovacs_nhcontrib\src\NHibernate.UserTypes.SqlTypes\src\NHibernate.UserTypes.SqlTypes\SqlBinaryType.cs,FromStringValue,The following statement contains a magic number: for (int i = 0; i < bytes.Length; i++) {  	string hexStr = xml.Substring (i * 2' (i + 1) * 2);  	bytes [i] = (byte)(byte.MinValue + byte.Parse (hexStr' NumberStyles.HexNumber));  }  
