Implementation smell,Namespace,Class,File,Method,Description
Long Statement,EnterpriseSample.Models,AddCustomerModel,C:\repos\JamesKovacs_nhcontrib\Examples\NHBestPractices\EnterpriseSample\EnterpriseSample.Models\AddCustomerModel.cs,CreateCustomer,The length of the statement  "			return "<span style=\"color:red\">The ID you provided is already in use.</span><br />Please change the ID and try again."; " is 122.
Long Statement,EnterpriseSample.Models,AddCustomerModel,C:\repos\JamesKovacs_nhcontrib\Examples\NHBestPractices\EnterpriseSample\EnterpriseSample.Models\AddCustomerModel.cs,CreateCustomer,The length of the statement  "		return "<span style=\"color:red\">The ID you provide must be exactly 5 characters long.</span><br />Please change the ID and try again."; " is 137.
Magic Number,EnterpriseSample.Models,AddCustomerModel,C:\repos\JamesKovacs_nhcontrib\Examples\NHBestPractices\EnterpriseSample\EnterpriseSample.Models\AddCustomerModel.cs,CreateCustomer,The following statement contains a magic number: if (customer.ID.Length == 5) {  	if (!IsDuplicateOfExisting (customer))  		customerDao.Save (customer);  	else  		return "<span style=\"color:red\">The ID you provided is already in use.</span><br />Please change the ID and try again.";  }  else  	return "<span style=\"color:red\">The ID you provide must be exactly 5 characters long.</span><br />Please change the ID and try again.";  
