Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DomainsMatch,1,2,0,0,2,38,2,0,0,0,2,1
MatchParameters,0,0,3,0,0,29,0,0,0,0,0,2
Domain,0,0,1,0,0,15,0,0,0,0,0,24
DomainExtensions,0,5,0,0,5,107,9,0,0,0,1,0
BlackListDomainsRepositoryFactory,1,2,0,0,2,45,2,0,1,0,6,1
DomainComponentFactory,0,1,2,0,1,40,2,0,1,0,2,2
DomainFactory,1,2,0,0,2,41,2,0,1,0,2,2
DomainsFactory,2,2,0,0,2,51,3,0,1,0,2,2
IDomainComponentFactory,0,0,2,0,0,22,0,1,1,0,0,0
RandomSelectDomainNameFactory,2,2,0,0,2,46,2,0,1,0,1,1
UniqueDomainNameFactory,2,3,1,0,2,79,6,0,1,0.67,0,1
IFactory,0,1,0,0,0,21,1,8,0,0,0,4
UniqueLevelAndDomainNameFactory,3,2,0,0,2,52,2,0,1,0,1,2
WorkingDomainsRepositoryFactory,2,2,0,0,2,60,2,0,1,0,7,1
BinarySearchDomainsMatchAlgorithm,0,1,0,0,1,28,1,0,1,0,3,0
DomainsTreeDomainsMatchAlgorithm,0,1,0,0,1,25,1,0,1,0,2,1
IDomainsMatchAlgorithm,0,1,0,0,0,21,1,6,0,0,1,0
ParallelBinarySearchDomainsMatchAlgorithm,0,1,0,0,1,29,1,0,1,0,3,0
ParallelDomainsTreeDomainsMatchAlgorithm,0,1,0,0,1,26,1,0,1,0,2,0
ParallelStringBasedComparisonDomainsMatchAlgorithm,0,1,0,0,1,26,1,0,1,0,2,0
StringBasedComparisonDomainsMatchAlgorithm,0,1,0,0,1,25,1,0,1,0,2,0
BlackListDomainComparer,0,1,0,0,1,31,3,0,0,0,1,2
BlackListDomainEqualityComparer,0,2,0,0,2,37,2,0,0,0,1,2
SortingDomainComparer,0,1,0,0,1,30,3,0,0,0,1,2
BaseDomainComponent,0,3,4,0,2,105,7,2,1,0,2,0
SubdomainLeaf,0,1,0,0,1,18,1,0,2,0,1,1
DomainsTree,2,3,0,0,2,56,4,0,0,0.17,3,2
IDomainComponent,0,2,2,0,0,39,2,1,0,0,1,3
Subdomain,0,1,0,0,1,19,1,0,2,0,2,2
BlackListDomainsRepository,0,1,0,0,1,17,1,0,1,0,1,2
DomainsRepository,1,2,0,0,1,30,2,2,1,0,1,0
IRepository,0,1,0,0,0,16,1,1,0,0,0,0
WorkingDomainsRepository,0,1,0,0,1,17,1,0,2,0,1,2
