Architecture smell,Project,Namespace,Cause,Responsible Classes,Participating Classes
Cyclic Dependency,deveeldb,Deveel.Data.Security,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Security' Deveel.Data' Deveel.Data.Sql,Deveel.Data.Security.ContextExtensions' Deveel.Data.Security.ObjectPrivilegesGrantedEvent' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber,Deveel.Data.Security.ContextExtensions' Deveel.Data.Security.ObjectPrivilegesGrantedEvent' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber
Cyclic Dependency,deveeldb,Deveel.Data.Security,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Security' Deveel.Data' Deveel.Data.Configurations' Deveel.Data,Deveel.Data.Security.ContextExtensions' Deveel.Data.Security.ObjectPrivilegesGrantedEvent' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter,Deveel.Data.Security.ContextExtensions' Deveel.Data.Security.ObjectPrivilegesGrantedEvent' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter
Cyclic Dependency,deveeldb,Deveel.Data.Security,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Security' Deveel.Data' Deveel.Data.Sql' Deveel.Data.Sql.Schemata' Deveel.Data,Deveel.Data.Security.ContextExtensions' Deveel.Data.Security.ObjectPrivilegesGrantedEvent' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Sql.Schemata.SystemSchema,Deveel.Data.Security.ContextExtensions' Deveel.Data.Security.ObjectPrivilegesGrantedEvent' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Sql.Schemata.SystemSchema
Cyclic Dependency,deveeldb,Deveel.Data.Sql,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Sql' Deveel.Data,Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession,Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession
Cyclic Dependency,deveeldb,Deveel.Data.Sql,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Sql' Deveel.Data' Deveel.Data.Configurations' Deveel.Data,Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter,Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter
Cyclic Dependency,deveeldb,Deveel.Data.Sql,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Sql' Deveel.Data.Sql.Schemata' Deveel.Data' Deveel.Data.Configurations' Deveel.Data,Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Sql.Schemata.SystemSchema' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter,Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Sql.Schemata.SystemSchema' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter
Cyclic Dependency,deveeldb,Deveel.Data.Sql.Expressions,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Sql.Expressions' Deveel.Data.Sql,Deveel.Data.Sql.Expressions.ISqlExpressionParser' Deveel.Data.Sql.Expressions.SqlBinaryExpression' Deveel.Data.Sql.Expressions.SqlExpression' Deveel.Data.Sql.Expressions.SqlExpressionVisitor' Deveel.Data.Sql.Expressions.SqlStringMatchExpression' Deveel.Data.Sql.Expressions.SqlVariableAssignExpression' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber,Deveel.Data.Sql.Expressions.ISqlExpressionParser' Deveel.Data.Sql.Expressions.SqlBinaryExpression' Deveel.Data.Sql.Expressions.SqlExpression' Deveel.Data.Sql.Expressions.SqlExpressionVisitor' Deveel.Data.Sql.Expressions.SqlStringMatchExpression' Deveel.Data.Sql.Expressions.SqlVariableAssignExpression' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber
Cyclic Dependency,deveeldb,Deveel.Data.Sql.Expressions,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Sql.Expressions' Deveel.Data.Sql.Tables' Deveel.Data,Deveel.Data.Sql.Expressions.ISqlExpressionParser' Deveel.Data.Sql.Expressions.SqlBinaryExpression' Deveel.Data.Sql.Expressions.SqlExpression' Deveel.Data.Sql.Expressions.SqlExpressionVisitor' Deveel.Data.Sql.Expressions.SqlStringMatchExpression' Deveel.Data.Sql.Expressions.SqlVariableAssignExpression' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession,Deveel.Data.Sql.Expressions.ISqlExpressionParser' Deveel.Data.Sql.Expressions.SqlBinaryExpression' Deveel.Data.Sql.Expressions.SqlExpression' Deveel.Data.Sql.Expressions.SqlExpressionVisitor' Deveel.Data.Sql.Expressions.SqlStringMatchExpression' Deveel.Data.Sql.Expressions.SqlVariableAssignExpression' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession
Cyclic Dependency,deveeldb,Deveel.Data.Sql.Expressions,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Sql.Expressions' Deveel.Data.Sql' Deveel.Data.Sql.Schemata' Deveel.Data,Deveel.Data.Sql.Expressions.ISqlExpressionParser' Deveel.Data.Sql.Expressions.SqlBinaryExpression' Deveel.Data.Sql.Expressions.SqlExpression' Deveel.Data.Sql.Expressions.SqlExpressionVisitor' Deveel.Data.Sql.Expressions.SqlStringMatchExpression' Deveel.Data.Sql.Expressions.SqlVariableAssignExpression' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Sql.Schemata.SystemSchema' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession,Deveel.Data.Sql.Expressions.ISqlExpressionParser' Deveel.Data.Sql.Expressions.SqlBinaryExpression' Deveel.Data.Sql.Expressions.SqlExpression' Deveel.Data.Sql.Expressions.SqlExpressionVisitor' Deveel.Data.Sql.Expressions.SqlStringMatchExpression' Deveel.Data.Sql.Expressions.SqlVariableAssignExpression' Deveel.Data.Sql.ContextExtensions' Deveel.Data.Sql.ICommand' Deveel.Data.Sql.IDbObjectManager' Deveel.Data.Sql.SqlArray' Deveel.Data.Sql.SqlDefaultStringSearch' Deveel.Data.Sql.SqlNumber' Deveel.Data.Sql.Schemata.SystemSchema' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession
Cyclic Dependency,deveeldb,Deveel.Data.Sql.Expressions,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: Deveel.Data.Sql.Expressions' Deveel.Data.Sql.Tables' Deveel.Data' Deveel.Data.Configurations' Deveel.Data,Deveel.Data.Sql.Expressions.ISqlExpressionParser' Deveel.Data.Sql.Expressions.SqlBinaryExpression' Deveel.Data.Sql.Expressions.SqlExpression' Deveel.Data.Sql.Expressions.SqlExpressionVisitor' Deveel.Data.Sql.Expressions.SqlStringMatchExpression' Deveel.Data.Sql.Expressions.SqlVariableAssignExpression' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter,Deveel.Data.Sql.Expressions.ISqlExpressionParser' Deveel.Data.Sql.Expressions.SqlBinaryExpression' Deveel.Data.Sql.Expressions.SqlExpression' Deveel.Data.Sql.Expressions.SqlExpressionVisitor' Deveel.Data.Sql.Expressions.SqlStringMatchExpression' Deveel.Data.Sql.Expressions.SqlVariableAssignExpression' Deveel.Data.Sql.Tables.ColumnInfo' Deveel.Data.Sql.Tables.IMutableTable' Deveel.Data.Sql.Tables.ITable' Deveel.Data.Sql.Tables.ITableEvent' Deveel.Data.Sql.Tables.ITableSystem' Deveel.Data.Sql.Tables.Row' Deveel.Data.Sql.Tables.TableExtensions' Deveel.Data.Context' Deveel.Data.Database' Deveel.Data.ISession' Deveel.Data.Configurations.ContextExtensions' Deveel.Data.Configurations.PropertiesFormatter
