Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Microsoft.IdentityModel.Logging.Tests,LoggerTests,D:\research\architectureSmells\repos\AzureAD_azure-activedirectory-identitymodel-extensions-for-dotnet\test\Microsoft.IdentityModel.Logging.Tests\LoggerTests.cs,LogException,The length of the statement  "            exception = LogHelper.LogExceptionMessage(new ArgumentException(String.Format(CultureInfo.InvariantCulture' messageWithParams' guid2))); " is 136.
Long Statement,Microsoft.IdentityModel.Logging.Tests,LoggerTests,D:\research\architectureSmells\repos\AzureAD_azure-activedirectory-identitymodel-extensions-for-dotnet\test\Microsoft.IdentityModel.Logging.Tests\LoggerTests.cs,LogException,The length of the statement  "            exception = LogHelper.LogExceptionMessage(EventLevel.Error' new ArgumentException(String.Format(CultureInfo.InvariantCulture' messageWithParams' guid3))); " is 154.
Long Statement,Microsoft.IdentityModel.Logging.Tests,LoggerTests,D:\research\architectureSmells\repos\AzureAD_azure-activedirectory-identitymodel-extensions-for-dotnet\test\Microsoft.IdentityModel.Logging.Tests\LoggerTests.cs,LogException,The length of the statement  "            exception = LogHelper.LogExceptionMessage(EventLevel.Error' new ArgumentException(String.Format(CultureInfo.InvariantCulture' messageWithParams' guid4)' new NotSupportedException())); " is 183.
Long Statement,Microsoft.IdentityModel.Logging.Tests,LoggerTests,D:\research\architectureSmells\repos\AzureAD_azure-activedirectory-identitymodel-extensions-for-dotnet\test\Microsoft.IdentityModel.Logging.Tests\LoggerTests.cs,LogException,The length of the statement  "            exception = LogHelper.LogExceptionMessage(EventLevel.Informational' new ArgumentException(String.Format(CultureInfo.InvariantCulture' messageWithParams' guid5)' new NotSupportedException())); " is 191.
Long Statement,Microsoft.IdentityModel.Logging.Tests,LoggerTests,D:\research\architectureSmells\repos\AzureAD_azure-activedirectory-identitymodel-extensions-for-dotnet\test\Microsoft.IdentityModel.Logging.Tests\LoggerTests.cs,PrepareMessageWithNoArguments,The length of the statement  "             var exception = LogHelper.LogExceptionMessage(new ArgumentException("This is the first parameter '{0}'. This is the second parameter '{1}'.")); " is 143.
Long Statement,Microsoft.IdentityModel.Logging.Tests,PIITests,D:\research\architectureSmells\repos\AzureAD_azure-activedirectory-identitymodel-extensions-for-dotnet\test\Microsoft.IdentityModel.Logging.Tests\PIITests.cs,LogOpenIdConnectProtocolExceptions,The length of the statement  "            var exception2 = LogHelper.LogExceptionMessage(new OpenIdConnectProtocolException(LogHelper.FormatInvariant(TestMessageTwoParams' "test2"' "test3")' exception1)); " is 162.
Long Statement,Microsoft.IdentityModel.Logging.Tests,PIITests,D:\research\architectureSmells\repos\AzureAD_azure-activedirectory-identitymodel-extensions-for-dotnet\test\Microsoft.IdentityModel.Logging.Tests\PIITests.cs,LogOpenIdConnectProtocolExceptions,The length of the statement  "            var exception3 = LogHelper.LogExceptionMessage(new OpenIdConnectProtocolInvalidAtHashException(LogHelper.FormatInvariant(TestMessageOneParam' "test4")' exception2)); " is 165.
Long Statement,Microsoft.IdentityModel.Logging.Tests,PIITests,D:\research\architectureSmells\repos\AzureAD_azure-activedirectory-identitymodel-extensions-for-dotnet\test\Microsoft.IdentityModel.Logging.Tests\PIITests.cs,LogOpenIdConnectProtocolExceptions,The length of the statement  "            var exception4 = LogHelper.LogExceptionMessage(new OpenIdConnectProtocolInvalidCHashException(LogHelper.FormatInvariant(TestMessageOneParam' "test5")' exception3)); " is 164.
Long Statement,Microsoft.IdentityModel.Logging.Tests,PIITests,D:\research\architectureSmells\repos\AzureAD_azure-activedirectory-identitymodel-extensions-for-dotnet\test\Microsoft.IdentityModel.Logging.Tests\PIITests.cs,LogOpenIdConnectProtocolExceptions,The length of the statement  "            var exception5 = LogHelper.LogExceptionMessage(new OpenIdConnectProtocolInvalidNonceException(LogHelper.FormatInvariant(TestMessageOneParam' "test6")' exception4)); " is 164.
Long Statement,Microsoft.IdentityModel.Logging.Tests,PIITests,D:\research\architectureSmells\repos\AzureAD_azure-activedirectory-identitymodel-extensions-for-dotnet\test\Microsoft.IdentityModel.Logging.Tests\PIITests.cs,LogOpenIdConnectProtocolExceptions,The length of the statement  "            var exception6 = LogHelper.LogExceptionMessage(new OpenIdConnectProtocolInvalidStateException(LogHelper.FormatInvariant(TestMessageOneParam' "test7")' exception5)); " is 164.
