Architecture smell,Project,Namespace,Cause
God Component,Mono.Cecil.Pdb,Microsoft.Cci.Pdb,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 209
Feature Concentration,Mono.Cecil.Pdb,Microsoft.Cci.Pdb,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BitAccess' BitSet' DataStream' DbiDbgHdr' DbiHeader' DbiModuleInfo' DbiSecCon' MsfDirectory' PdbConstant' PdbFile' PdbFileHeader' PdbFunction' PdbSynchronizationInformation' PdbSynchronizationPoint' PdbLine' PdbLines' PdbReader' PdbScope' PdbSlot' PdbSource' PdbTokenLine' SYM' AttrSlotSym' ManProcSym' BlockSym32' OemSymbol' CV_LineSection' CV_SourceFile' CV_Line_Flags' CV_Line' CV_Column' CV_FileCheckSum' DEBUG_S_SUBSECTION' IntHashTable]' [FLOAT10' LeafReal80' LeafCmplx80]' [CV_SIGNATURE]' [CV_prmode]' [CV_type]' [CV_special]' [CV_special2]' [CV_integral]' [CV_real]' [CV_int]' [CV_PRIMITIVE_TYPE]' [TYPE_ENUM]' [LEAF]' [CV_ptrtype]' [CV_ptrmode]' [CV_pmtype]' [CV_methodprop]' [CV_VTS_desc]' [CV_LABEL_TYPE]' [CV_modifier' LeafModifier]' [CV_prop]' [CV_fldattr]' [TYPTYPE]' [CV_PDMR32_NVVFCN]' [CV_PDMR32_VBASE]' [CV_PMFR32_NVSA]' [CV_PMFR32_NVMA]' [CV_PMFR32_VBASE]' [LeafPointerAttr]' [LeafPointer]' [LeafArray]' [LeafClass]' [LeafUnion]' [LeafAlias]' [LeafManaged]' [LeafEnum]' [LeafProc]' [LeafMFunc]' [LeafVTShape]' [LeafCobol0]' [LeafCobol1]' [LeafBArray]' [LeafLabel]' [LeafDimArray]' [LeafVFTPath]' [LeafPreComp]' [LeafEndPreComp]' [LeafOEM]' [OEM_ID]' [LeafOEM2]' [LeafTypeServer]' [LeafTypeServer2]' [LeafSkip]' [LeafArgList]' [LeafDerived]' [LeafDefArg]' [LeafList]' [LeafFieldList]' [mlMethod]' [LeafMethodList]' [LeafBitfield]' [LeafDimCon]' [LeafDimVar]' [LeafRefSym]' [LeafChar]' [LeafShort]' [LeafUShort]' [LeafLong]' [LeafULong]' [LeafQuad]' [LeafUQuad]' [LeafOct]' [LeafUOct]' [LeafReal32]' [LeafReal64]' [LeafReal128]' [LeafCmplx32]' [LeafCmplx64]' [LeafCmplx128]' [LeafVarString]' [LeafIndex]' [LeafBClass]' [LeafVBClass]' [LeafFriendCls]' [LeafFriendFcn]' [LeafMember]' [LeafSTMember]' [LeafVFuncTab]' [LeafVFuncOff]' [LeafMethod]' [LeafOneMethod]' [LeafEnumerate]' [LeafNestType]' [LeafNestTypeEx]' [LeafMemberModify]' [LeafPad]' [CV_CFL_DATA]' [CV_CFL_CODE]' [CV_CFL_FPKG]' [CV_PROCFLAGS]' [CV_EXPROCFLAGS]' [CV_LVARFLAGS]' [CV_lvar_addr_range' DefRangeSym' DefRangeSym2]' [CV_GENERIC_STYLE]' [CV_GENERIC_FLAG' ReturnSym]' [CV_SEPCODEFLAGS]' [SYMTYPE]' [RegSym]' [AttrRegSym]' [ManyRegSym]' [ManyRegSym2]' [AttrManyRegSym]' [AttrManyRegSym2]' [ConstSym]' [UdtSym]' [ManyTypRef]' [SearchSym]' [CFLAGSYM_FLAGS]' [CFlagSym]' [COMPILESYM_FLAGS]' [CompileSym]' [ObjNameSym]' [EndArgSym]' [EntryThisSym]' [BpRelSym32]' [FrameRelSym]' [SlotSym32]' [AnnotationSym]' [DatasSym32]' [CV_PUBSYMFLAGS]' [PubSym32]' [ProcSym32]' [ManProcSymMips]' [ThunkSym32]' [TRAMP]' [TrampolineSym]' [LabelSym32]' [WithSym32]' [VpathSym32]' [RegRel32]' [AttrRegRel]' [ThreadSym32]' [Slink32]' [ProcSymMips]' [ProcSymIa64]' [RefSym]' [RefSym2]' [AlignSym]' [FRAMEPROCSYM_FLAGS]' [FrameProcSym]' [UnamespaceSym]' [SepCodSym]' [LocalSym]' [SectionSym]' [CoffGroupSym]' [EXPORTSYM_FLAGS]' [ExportSym]' [CallsiteInfo]' [CV_cookietype]' [FrameCookie]' [CV_DISCARDED' DiscardedSym]' [DEBUG_S_SUBSECTION_TYPE]' [CV_LINE_SUBSECTION_FLAGS]' [CV_FILE_CHECKSUM_TYPE]' [FRAMEDATA_FLAGS]' [FrameData]' [XFixupData]' [PdbDebugException]' [PdbException]. LCC (Lack of Component Cohesion) = 0.81
