Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Tests,Case,C:\research\architectureSmells\repos\Reactive-Extensions_Rx.NET\Ix.NET\Source\System.Interactive.Tests\System\Linq\Operators\Case.cs,Case_Arguments,The length of the statement  "            AssertThrows<ArgumentNullException>(() => EnumerableEx.Case<int' int>(null' new Dictionary<int' IEnumerable<int>>()' new[] { 1 })); " is 131.
Long Statement,Tests,Case,C:\research\architectureSmells\repos\Reactive-Extensions_Rx.NET\Ix.NET\Source\System.Interactive.Tests\System\Linq\Operators\Case.cs,Case_Arguments,The length of the statement  "            AssertThrows<ArgumentNullException>(() => EnumerableEx.Case<int' int>(() => 1' new Dictionary<int' IEnumerable<int>>()' null)); " is 127.
Long Statement,Tests,Distinct,C:\research\architectureSmells\repos\Reactive-Extensions_Rx.NET\Ix.NET\Source\System.Interactive.Tests\System\Linq\Operators\Distinct.cs,Distinct_Arguments,The length of the statement  "            AssertThrows<ArgumentNullException>(() => EnumerableEx.Distinct<int' int>(null' _ => _' EqualityComparer<int>.Default)); " is 120.
Long Statement,Tests,Distinct,C:\research\architectureSmells\repos\Reactive-Extensions_Rx.NET\Ix.NET\Source\System.Interactive.Tests\System\Linq\Operators\Distinct.cs,Distinct_Arguments,The length of the statement  "            AssertThrows<ArgumentNullException>(() => EnumerableEx.Distinct<int' int>(new[] { 1 }' null' EqualityComparer<int>.Default)); " is 125.
Long Statement,Tests,DistinctUntilChanged,C:\research\architectureSmells\repos\Reactive-Extensions_Rx.NET\Ix.NET\Source\System.Interactive.Tests\System\Linq\Operators\DistinctUntilChanged.cs,DistinctUntilChanged_Arguments,The length of the statement  "            AssertThrows<ArgumentNullException>(() => EnumerableEx.DistinctUntilChanged<int' int>(null' _ => _' EqualityComparer<int>.Default)); " is 132.
Long Statement,Tests,DistinctUntilChanged,C:\research\architectureSmells\repos\Reactive-Extensions_Rx.NET\Ix.NET\Source\System.Interactive.Tests\System\Linq\Operators\DistinctUntilChanged.cs,DistinctUntilChanged_Arguments,The length of the statement  "            AssertThrows<ArgumentNullException>(() => EnumerableEx.DistinctUntilChanged<int' int>(new[] { 1 }' null' EqualityComparer<int>.Default)); " is 137.
Long Statement,Tests,Do,C:\research\architectureSmells\repos\Reactive-Extensions_Rx.NET\Ix.NET\Source\System.Interactive.Tests\System\Linq\Operators\Do.cs,Do_Arguments,The length of the statement  "            AssertThrows<ArgumentNullException>(() => EnumerableEx.Do<int>(new[] { 1 }' default(Action<int>)' _ => { }' () => { })); " is 120.
Long Statement,Tests,Do,C:\research\architectureSmells\repos\Reactive-Extensions_Rx.NET\Ix.NET\Source\System.Interactive.Tests\System\Linq\Operators\Do.cs,Do_Arguments,The length of the statement  "            AssertThrows<ArgumentNullException>(() => EnumerableEx.Do<int>(new[] { 1 }' _ => { }' default(Action<Exception>)' () => { })); " is 126.
Long Statement,Tests,Do,C:\research\architectureSmells\repos\Reactive-Extensions_Rx.NET\Ix.NET\Source\System.Interactive.Tests\System\Linq\Operators\Do.cs,Do3,The length of the statement  "                EnumerableEx.Throw<int>(ex).Do(x => { Assert.True(false); }' e => { Assert.Equal(ex' e); ok = true; }).ForEach(_ => { }) " is 120.
Long Statement,Tests,MaxBy,C:\research\architectureSmells\repos\Reactive-Extensions_Rx.NET\Ix.NET\Source\System.Interactive.Tests\System\Linq\Operators\MaxBy.cs,MaxBy_Arguments,The length of the statement  "            AssertThrows<ArgumentNullException>(() => EnumerableEx.MaxBy(new[] { 1 }' default(Func<int' int>)' Comparer<int>.Default)); " is 123.
