Architecture smell,Project,Namespace,Cause,Responsible Classes
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.DataAccess,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.DataAccess' BLToolkit.Data.Linq' BLToolkit.Reflection' BLToolkit.Mapping,BLToolkit.DataAccess.DataAccessorBase' BLToolkit.DataAccess.DataSetTableAttribute' BLToolkit.DataAccess.DataAccessor<T'TA>' BLToolkit.DataAccess.DataAccessor' BLToolkit.DataAccess.DataAccessorBuilder' BLToolkit.DataAccess.SqlQueryBase' BLToolkit.Data.Linq.CompiledQuery' BLToolkit.Data.Linq.CompiledTable<T>' BLToolkit.Data.Linq.DataContext' BLToolkit.Data.Linq.DataContextInfo' BLToolkit.Data.Linq.Query' BLToolkit.Data.Linq.Query<T>' BLToolkit.Data.Linq.Extensions' BLToolkit.Reflection.BaseAccessor<T>' BLToolkit.Reflection.MemberAccessor' BLToolkit.Reflection.TypeHelper' BLToolkit.Reflection.TypeAccessor' BLToolkit.Mapping.Association' BLToolkit.Mapping.ValueConvertHelper<TS'TD>' BLToolkit.Mapping.ConvertHelper<TS'TD>' BLToolkit.Mapping.MemberMapper' BLToolkit.Mapping.DataReaderMapper' BLToolkit.Mapping.MapIndex' BLToolkit.Mapping.MappingSchema' BLToolkit.Mapping.ComplexMapper' BLToolkit.Mapping.ObjectMapper
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.DataAccess,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.DataAccess' BLToolkit.Reflection' BLToolkit.Reflection.Emit' BLToolkit.Reflection' BLToolkit.Mapping,BLToolkit.DataAccess.DataAccessorBase' BLToolkit.DataAccess.DataSetTableAttribute' BLToolkit.DataAccess.DataAccessor<T'TA>' BLToolkit.DataAccess.DataAccessor' BLToolkit.DataAccess.DataAccessorBuilder' BLToolkit.DataAccess.SqlQueryBase' BLToolkit.Reflection.BaseAccessor<T>' BLToolkit.Reflection.MemberAccessor' BLToolkit.Reflection.TypeHelper' BLToolkit.Reflection.TypeAccessor' BLToolkit.Reflection.Emit.EmitHelper' BLToolkit.Reflection.Emit.TypeBuilderHelper' BLToolkit.Mapping.Association' BLToolkit.Mapping.ValueConvertHelper<TS'TD>' BLToolkit.Mapping.ConvertHelper<TS'TD>' BLToolkit.Mapping.MemberMapper' BLToolkit.Mapping.DataReaderMapper' BLToolkit.Mapping.MapIndex' BLToolkit.Mapping.MappingSchema' BLToolkit.Mapping.ComplexMapper' BLToolkit.Mapping.ObjectMapper
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Data,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Data' BLToolkit.Data.DataProvider,BLToolkit.Data.DbConnectionFactory' BLToolkit.Data.DbManagerTransaction' BLToolkit.Data.DbManager' BLToolkit.Data.DataProvider.DataProviderVersionResolverBase' BLToolkit.Data.DataProvider.Sql2005DataProvider' BLToolkit.Data.DataProvider.DataProviderInterpreterBase' BLToolkit.Data.DataProvider.FirebirdMappingSchema' BLToolkit.Data.DataProvider.DataProviderBase
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Data,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Data' BLToolkit.Mapping' BLToolkit.Data.DataProvider,BLToolkit.Data.DbConnectionFactory' BLToolkit.Data.DbManagerTransaction' BLToolkit.Data.DbManager' BLToolkit.Mapping.Association' BLToolkit.Mapping.ValueConvertHelper<TS'TD>' BLToolkit.Mapping.ConvertHelper<TS'TD>' BLToolkit.Mapping.MemberMapper' BLToolkit.Mapping.DataReaderMapper' BLToolkit.Mapping.MapIndex' BLToolkit.Mapping.MappingSchema' BLToolkit.Mapping.ComplexMapper' BLToolkit.Mapping.ObjectMapper' BLToolkit.Data.DataProvider.DataProviderVersionResolverBase' BLToolkit.Data.DataProvider.Sql2005DataProvider' BLToolkit.Data.DataProvider.DataProviderInterpreterBase' BLToolkit.Data.DataProvider.FirebirdMappingSchema' BLToolkit.Data.DataProvider.DataProviderBase
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Data,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Data' BLToolkit.Data.Linq' BLToolkit.Reflection' BLToolkit.Data.DataProvider,BLToolkit.Data.DbConnectionFactory' BLToolkit.Data.DbManagerTransaction' BLToolkit.Data.DbManager' BLToolkit.Data.Linq.CompiledQuery' BLToolkit.Data.Linq.CompiledTable<T>' BLToolkit.Data.Linq.DataContext' BLToolkit.Data.Linq.DataContextInfo' BLToolkit.Data.Linq.Query' BLToolkit.Data.Linq.Query<T>' BLToolkit.Data.Linq.Extensions' BLToolkit.Reflection.BaseAccessor<T>' BLToolkit.Reflection.MemberAccessor' BLToolkit.Reflection.TypeHelper' BLToolkit.Reflection.TypeAccessor' BLToolkit.Data.DataProvider.DataProviderVersionResolverBase' BLToolkit.Data.DataProvider.Sql2005DataProvider' BLToolkit.Data.DataProvider.DataProviderInterpreterBase' BLToolkit.Data.DataProvider.FirebirdMappingSchema' BLToolkit.Data.DataProvider.DataProviderBase
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Data,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Data' BLToolkit.Mapping' BLToolkit.Data.Linq' BLToolkit.Reflection' BLToolkit.Data.DataProvider,BLToolkit.Data.DbConnectionFactory' BLToolkit.Data.DbManagerTransaction' BLToolkit.Data.DbManager' BLToolkit.Mapping.Association' BLToolkit.Mapping.ValueConvertHelper<TS'TD>' BLToolkit.Mapping.ConvertHelper<TS'TD>' BLToolkit.Mapping.MemberMapper' BLToolkit.Mapping.DataReaderMapper' BLToolkit.Mapping.MapIndex' BLToolkit.Mapping.MappingSchema' BLToolkit.Mapping.ComplexMapper' BLToolkit.Mapping.ObjectMapper' BLToolkit.Data.Linq.CompiledQuery' BLToolkit.Data.Linq.CompiledTable<T>' BLToolkit.Data.Linq.DataContext' BLToolkit.Data.Linq.DataContextInfo' BLToolkit.Data.Linq.Query' BLToolkit.Data.Linq.Query<T>' BLToolkit.Data.Linq.Extensions' BLToolkit.Reflection.BaseAccessor<T>' BLToolkit.Reflection.MemberAccessor' BLToolkit.Reflection.TypeHelper' BLToolkit.Reflection.TypeAccessor' BLToolkit.Data.DataProvider.DataProviderVersionResolverBase' BLToolkit.Data.DataProvider.Sql2005DataProvider' BLToolkit.Data.DataProvider.DataProviderInterpreterBase' BLToolkit.Data.DataProvider.FirebirdMappingSchema' BLToolkit.Data.DataProvider.DataProviderBase
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Data.DataProvider,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Data.DataProvider' BLToolkit.Data.Sql.SqlProvider,BLToolkit.Data.DataProvider.DataProviderVersionResolverBase' BLToolkit.Data.DataProvider.Sql2005DataProvider' BLToolkit.Data.DataProvider.DataProviderInterpreterBase' BLToolkit.Data.DataProvider.FirebirdMappingSchema' BLToolkit.Data.DataProvider.DataProviderBase' BLToolkit.Data.Sql.SqlProvider.MsSql2012SqlProvider' BLToolkit.Data.Sql.SqlProvider.MsSql2000SqlProvider' BLToolkit.Data.Sql.SqlProvider.BasicSqlProvider
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Data.DataProvider,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Data.DataProvider' BLToolkit.Data.Linq' BLToolkit.Reflection,BLToolkit.Data.DataProvider.DataProviderVersionResolverBase' BLToolkit.Data.DataProvider.Sql2005DataProvider' BLToolkit.Data.DataProvider.DataProviderInterpreterBase' BLToolkit.Data.DataProvider.FirebirdMappingSchema' BLToolkit.Data.DataProvider.DataProviderBase' BLToolkit.Data.Linq.CompiledQuery' BLToolkit.Data.Linq.CompiledTable<T>' BLToolkit.Data.Linq.DataContext' BLToolkit.Data.Linq.DataContextInfo' BLToolkit.Data.Linq.Query' BLToolkit.Data.Linq.Query<T>' BLToolkit.Data.Linq.Extensions' BLToolkit.Reflection.BaseAccessor<T>' BLToolkit.Reflection.MemberAccessor' BLToolkit.Reflection.TypeHelper' BLToolkit.Reflection.TypeAccessor
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Data.DataProvider,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Data.DataProvider' BLToolkit.Data.Linq' BLToolkit.Reflection' BLToolkit.Reflection.Emit' BLToolkit.Reflection,BLToolkit.Data.DataProvider.DataProviderVersionResolverBase' BLToolkit.Data.DataProvider.Sql2005DataProvider' BLToolkit.Data.DataProvider.DataProviderInterpreterBase' BLToolkit.Data.DataProvider.FirebirdMappingSchema' BLToolkit.Data.DataProvider.DataProviderBase' BLToolkit.Data.Linq.CompiledQuery' BLToolkit.Data.Linq.CompiledTable<T>' BLToolkit.Data.Linq.DataContext' BLToolkit.Data.Linq.DataContextInfo' BLToolkit.Data.Linq.Query' BLToolkit.Data.Linq.Query<T>' BLToolkit.Data.Linq.Extensions' BLToolkit.Reflection.BaseAccessor<T>' BLToolkit.Reflection.MemberAccessor' BLToolkit.Reflection.TypeHelper' BLToolkit.Reflection.TypeAccessor' BLToolkit.Reflection.Emit.EmitHelper' BLToolkit.Reflection.Emit.TypeBuilderHelper
Cyclic Dependency,BLToolkit.Data.4,BLToolkit.Data.Linq.Builder,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: BLToolkit.Data.Linq.Builder' BLToolkit.Data.Linq,BLToolkit.Data.Linq.Builder.ConcatUnionBuilder' BLToolkit.Data.Linq.Builder.UnionContext' BLToolkit.Data.Linq.Builder.InsertOrUpdateContext' BLToolkit.Data.Linq.Builder.OfTypeBuilder' BLToolkit.Data.Linq.Builder.SequenceConvertPath' BLToolkit.Data.Linq.Builder.UpdateBuilder' BLToolkit.Data.Linq.Builder.ExpressionBuilder' BLToolkit.Data.Linq.CompiledQuery' BLToolkit.Data.Linq.CompiledTable<T>' BLToolkit.Data.Linq.DataContext' BLToolkit.Data.Linq.DataContextInfo' BLToolkit.Data.Linq.Query' BLToolkit.Data.Linq.Query<T>' BLToolkit.Data.Linq.Extensions
