Implementation smell,Namespace,Class,File,Method,Description
Complex Method,BLToolkit.Data.DataProvider,MySqlDataProvider,D:\research\architectureSmells\repos\igor-tkachev_bltoolkit\Source\Data\DataProvider\MySqlDataProvider.cs,Configure,Cyclomatic complexity of the method is 9
Long Statement,BLToolkit.Data.DataProvider,MySqlDataProvider,D:\research\architectureSmells\repos\igor-tkachev_bltoolkit\Source\Data\DataProvider\MySqlDataProvider.cs,ConvertParameterNames,The length of the statement  "							command.CommandType == CommandType.StoredProcedure ? ConvertType.NameToSprocParameter : ConvertType.NameToCommandParameter).ToString(); " is 135.
Magic Number,BLToolkit.Data.DataProvider,MySqlDataProvider,D:\research\architectureSmells\repos\igor-tkachev_bltoolkit\Source\Data\DataProvider\MySqlDataProvider.cs,ConvertErrorNumberToDataExceptionType,The following statement contains a magic number: switch (number)  			{  				case 1213: return DataExceptionType.Deadlock;  				case 1205: return DataExceptionType.Timeout;  				case 1216:  				case 1217: return DataExceptionType.ForeignKeyViolation;  				case 1169: return DataExceptionType.UniqueIndexViolation;  			}
Magic Number,BLToolkit.Data.DataProvider,MySqlDataProvider,D:\research\architectureSmells\repos\igor-tkachev_bltoolkit\Source\Data\DataProvider\MySqlDataProvider.cs,ConvertErrorNumberToDataExceptionType,The following statement contains a magic number: switch (number)  			{  				case 1213: return DataExceptionType.Deadlock;  				case 1205: return DataExceptionType.Timeout;  				case 1216:  				case 1217: return DataExceptionType.ForeignKeyViolation;  				case 1169: return DataExceptionType.UniqueIndexViolation;  			}
Magic Number,BLToolkit.Data.DataProvider,MySqlDataProvider,D:\research\architectureSmells\repos\igor-tkachev_bltoolkit\Source\Data\DataProvider\MySqlDataProvider.cs,ConvertErrorNumberToDataExceptionType,The following statement contains a magic number: switch (number)  			{  				case 1213: return DataExceptionType.Deadlock;  				case 1205: return DataExceptionType.Timeout;  				case 1216:  				case 1217: return DataExceptionType.ForeignKeyViolation;  				case 1169: return DataExceptionType.UniqueIndexViolation;  			}
Magic Number,BLToolkit.Data.DataProvider,MySqlDataProvider,D:\research\architectureSmells\repos\igor-tkachev_bltoolkit\Source\Data\DataProvider\MySqlDataProvider.cs,ConvertErrorNumberToDataExceptionType,The following statement contains a magic number: switch (number)  			{  				case 1213: return DataExceptionType.Deadlock;  				case 1205: return DataExceptionType.Timeout;  				case 1216:  				case 1217: return DataExceptionType.ForeignKeyViolation;  				case 1169: return DataExceptionType.UniqueIndexViolation;  			}
Magic Number,BLToolkit.Data.DataProvider,MySqlDataProvider,D:\research\architectureSmells\repos\igor-tkachev_bltoolkit\Source\Data\DataProvider\MySqlDataProvider.cs,ConvertErrorNumberToDataExceptionType,The following statement contains a magic number: switch (number)  			{  				case 1213: return DataExceptionType.Deadlock;  				case 1205: return DataExceptionType.Timeout;  				case 1216:  				case 1217: return DataExceptionType.ForeignKeyViolation;  				case 1169: return DataExceptionType.UniqueIndexViolation;  			}
Missing Default,BLToolkit.Data.DataProvider,MySqlDataProvider,D:\research\architectureSmells\repos\igor-tkachev_bltoolkit\Source\Data\DataProvider\MySqlDataProvider.cs,Convert,The following switch statement is missing a default case: switch (convertType)  			{  				case ConvertType.ExceptionToErrorNumber:  					if (value is MySqlException)  						return ((MySqlException)value).Number;  					break;    				case ConvertType.ExceptionToErrorMessage:  					if (value is MySqlException)  						return ((MySqlException)value).Message;  					break;  			}
Missing Default,BLToolkit.Data.DataProvider,MySqlDataProvider,D:\research\architectureSmells\repos\igor-tkachev_bltoolkit\Source\Data\DataProvider\MySqlDataProvider.cs,ConvertErrorNumberToDataExceptionType,The following switch statement is missing a default case: switch (number)  			{  				case 1213: return DataExceptionType.Deadlock;  				case 1205: return DataExceptionType.Timeout;  				case 1216:  				case 1217: return DataExceptionType.ForeignKeyViolation;  				case 1169: return DataExceptionType.UniqueIndexViolation;  			}
Missing Default,BLToolkit.Data.DataProvider,MySqlDataProvider,D:\research\architectureSmells\repos\igor-tkachev_bltoolkit\Source\Data\DataProvider\MySqlDataProvider.cs,Configure,The following switch statement is missing a default case: switch (configName)  				{  					case "OldStyle":  						ConfigureOldStyle();  						break;  					case "NewStyle":  						ConfigureNewStyle();  						break;  				}
