Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Client,FreeTextTableExpressionAttribute,D:\research\architectureSmells\repos\igor-tkachev_bltoolkit\Demo\Silverlight\Client.Web\DataModel.generated.cs,SetTable,The length of the statement  "					var database     = tbl.Database     == null ? null : sp.Convert(tbl.Database'     ConvertType.NameToDatabase).  ToString(); " is 123.
Long Statement,Client,FreeTextTableExpressionAttribute,D:\research\architectureSmells\repos\igor-tkachev_bltoolkit\Demo\Silverlight\Client.Web\DataModel.generated.cs,SetTable,The length of the statement  "					var owner        = tbl.Owner        == null ? null : sp.Convert(tbl.Owner'        ConvertType.NameToOwner).     ToString(); " is 123.
Long Statement,Client,FreeTextTableExpressionAttribute,D:\research\architectureSmells\repos\igor-tkachev_bltoolkit\Demo\Silverlight\Client.Web\DataModel.generated.cs,SetTable,The length of the statement  "					var physicalName = tbl.PhysicalName == null ? null : sp.Convert(tbl.PhysicalName' ConvertType.NameToQueryTable).ToString(); " is 123.
