Implementation smell,Namespace,Class,File,Method,Description
Long Statement,Gets,Arzon,C:\repos\Hansi7_AVsorter\Gets\Arzon.cs,PageParse,The length of the statement  "		string n_itemURL = "http://" + u.Host + doc.DocumentNode.SelectNodes ("//div[@id='itemd']//h2/a") [i].Attributes ["href"].Value; " is 128.
Long Statement,Gets,Arzon,C:\repos\Hansi7_AVsorter\Gets\Arzon.cs,PageParse,The length of the statement  "		string s_img = doc.DocumentNode.SelectNodes ("//div[@id='listitem']/table/tr/td/div/a/img") [i].Attributes ["src"].Value; " is 121.
Long Statement,Gets,Arzon,C:\repos\Hansi7_AVsorter\Gets\Arzon.cs,GetMovie,The length of the statement  "		string Title = docc.DocumentNode.SelectSingleNode ("//div[@id='detail_new']//div[@class='detail_title_new2']//h1").InnerText; " is 125.
Long Statement,Gets,Arzon,C:\repos\Hansi7_AVsorter\Gets\Arzon.cs,GetMovie,The length of the statement  "		string coverImg = docc.DocumentNode.SelectNodes ("//div[@id='detail_new']//img[@class='item_img']") [0].Attributes ["src"].Value.ToString (); " is 141.
Long Statement,Gets,Arzon,C:\repos\Hansi7_AVsorter\Gets\Arzon.cs,GetMovie,The length of the statement  "		//Console.WriteLine(string.Format("Actor:{0}\r\nTitle:{1}\r\nLabel:{2}\r\nMaker:{3}\r\nReleaseDate:{4}\r\n番号:{5}\r\n "' m.Actor[0]' m.Title' m.Lable' m.Maker' m.ReleaseDate.ToShortDateString()' m.AVCode)); " is 205.
Long Statement,Gets,AVEntertainments,C:\repos\Hansi7_AVsorter\Gets\AVEntertainments.cs,Query,The length of the statement  "	wc.Headers.Set ("User-Agent"' "Mozilla/5.0 (Windows; U; Windows NT 5.2; zh-TW; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5"); " is 122.
Long Statement,Gets,AVEntertainments,C:\repos\Hansi7_AVsorter\Gets\AVEntertainments.cs,Query,The length of the statement  "	var listItems = doc.DocumentNode.SelectNodes ("//table[@id='ctl00_ContentPlaceHolder1_Rows2Items1_MyList']/tr/td[@valign='top']/table"); " is 136.
Long Statement,Gets,AVEntertainments,C:\repos\Hansi7_AVsorter\Gets\AVEntertainments.cs,Query,The length of the statement  "		var img_s = item.ChildNodes ["tr"].ChildNodes ["td"].ChildNodes ["div"].ChildNodes ["a"].ChildNodes ["img"].Attributes ["src"].Value; " is 133.
Long Statement,Gets,AVEntertainments,C:\repos\Hansi7_AVsorter\Gets\AVEntertainments.cs,urlCombine,The length of the statement  "	return new Uri ("http://www.aventertainments.com/search_Products.aspx?languageID=2&searchby=keyword&keyword=" + keyword); " is 121.
Long Statement,Gets,AVEntertainments,C:\repos\Hansi7_AVsorter\Gets\AVEntertainments.cs,GetMovie,The length of the statement  "	//wc.Headers.Set("Referer"' "http://www.aventertainments.com/search_Products.aspx?languageID=2&searchby=keyword&keyword=cwp"); " is 126.
Long Statement,Gets,AVEntertainments,C:\repos\Hansi7_AVsorter\Gets\AVEntertainments.cs,GetMovie,The length of the statement  "	wc.Headers.Set ("User-Agent"' "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML' like Gecko) Chrome/36.0.1985.143 Safari/537.36"); " is 136.
Long Statement,Gets,AVEntertainments,C:\repos\Hansi7_AVsorter\Gets\AVEntertainments.cs,GetMovie,The length of the statement  "	string changjia = docc.DocumentNode.SelectNodes ("//span[@class='redtitle']") [1].ParentNode.ChildNodes ["a"].InnerText; " is 120.
Long Statement,Gets,MyWebClient,C:\repos\Hansi7_AVsorter\Gets\MywebClient.cs,GetWebRequest,The length of the statement  "		(webRequest as HttpWebRequest).ContentType = "image/gif' image/x-xbitmap' image/jpeg' image/pjpeg' application/x-shockwave-flash' application/x-silverlight' application/vnd.ms-excel' application/vnd.ms-powerpoint' application/msword' application/x-ms-application' application/x-ms-xbap' application/vnd.ms-xpsdocument' application/xaml+xml' application/x-silverlight-2-b1' */*"; " is 378.
Long Statement,Gets,MyWebClient,C:\repos\Hansi7_AVsorter\Gets\MywebClient.cs,GetWebRequest,The length of the statement  "		(webRequest as HttpWebRequest).UserAgent = "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; .NET CLR 2.0.50727; .NET CLR 3.0.04506.648; .NET CLR 3.5.21022)"; " is 160.
Magic Number,Gets,Arzon,C:\repos\Hansi7_AVsorter\Gets\Arzon.cs,titleCleaner,The following statement contains a magic number: if (title.Length > 82) {  	title = title.Substring (0' 81);  }  
Magic Number,Gets,Arzon,C:\repos\Hansi7_AVsorter\Gets\Arzon.cs,titleCleaner,The following statement contains a magic number: if (title.Length > 82) {  	title = title.Substring (0' 81);  }  
