Implementation smell,Namespace,Class,File,Method,Description
Magic Number,MonoXunit,RandString,C:\repos\xeb_mono-xunit-with-cde-example\RandString.cs,Gen,The following statement contains a magic number: if (rand < 10)  	return "Mark";  
Magic Number,MonoXunit,RandString,C:\repos\xeb_mono-xunit-with-cde-example\RandString.cs,Gen,The following statement contains a magic number: if (rand < 20)  	return "Done";  
Magic Number,MonoXunit,RandString,C:\repos\xeb_mono-xunit-with-cde-example\RandString.cs,Gen,The following statement contains a magic number: if (rand < 100)  	return "Doll";  
