Implementation smell,Namespace,Class,File,Method,Description
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,FeatureSetup,The length of the statement  "            TechTalk.SpecFlow.FeatureInfo featureInfo = new TechTalk.SpecFlow.FeatureInfo(new System.Globalization.CultureInfo("en-US")' "Test Suite"' "In order to test my reporter plugin\r\nAs a developer\r\nI want to run a predefined t" + " is 228.
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,StepsContainArguments,The length of the statement  "            TechTalk.SpecFlow.ScenarioInfo scenarioInfo = new TechTalk.SpecFlow.ScenarioInfo("Steps contain arguments"' ((string[])(null))); " is 128.
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,StepsContainArguments,The length of the statement  " testRunner.When("the tests with \"multiple\" parameters run \"smoothly\""' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "When "); " is 137.
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,StepsContainMultiArguments,The length of the statement  "            TechTalk.SpecFlow.ScenarioInfo scenarioInfo = new TechTalk.SpecFlow.ScenarioInfo("Steps contain multi arguments"' ((string[])(null))); " is 134.
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,StepsContainMultiArguments,The length of the statement  " testRunner.Given("a \"awesome\" scenario is specified with a multi-line argument"' "Here we go with mulitiple\r\nlines!"' ((TechTalk.SpecFlow.Table)(null))' "Given "); " is 167.
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,StepsContainMultiArguments,The length of the statement  " testRunner.When("the tests with multiple line parameters"' "like\r\nthis \r\none"' ((TechTalk.SpecFlow.Table)(null))' "When "); " is 127.
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,StepIsNotImplemented,The length of the statement  "            TechTalk.SpecFlow.ScenarioInfo scenarioInfo = new TechTalk.SpecFlow.ScenarioInfo("Step is not implemented"' ((string[])(null))); " is 128.
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,StepUsesMethod_NameUndescoresStyle,The length of the statement  "            TechTalk.SpecFlow.ScenarioInfo scenarioInfo = new TechTalk.SpecFlow.ScenarioInfo("Step uses method-name undescores style"' ((string[])(null))); " is 143.
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,StepUsesMethod_NameUndescoresStyle,The length of the statement  " testRunner.When("a step uses method-name style with two parameters"' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "When "); " is 131.
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,StepUsesMethod_NameUndescoresStyleWithTableParam,The length of the statement  "            TechTalk.SpecFlow.ScenarioInfo scenarioInfo = new TechTalk.SpecFlow.ScenarioInfo("Step uses method-name undescores style with table param"' ((string[])(null))); " is 160.
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,StepUsesMethod_NameUndescoresStyleWithTableParam,The length of the statement  " testRunner.When("a step uses method-name underscore style with a table param and a second param:"' ((string)(null))' table2' "When "); " is 134.
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,Eating,The length of the statement  "  testRunner.Given(string.Format("there are {0} cucumbers"' start)' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "Given "); " is 129.
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,Eating,The length of the statement  "  testRunner.When(string.Format("I eat {0} cucumbers"' eat)' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "When "); " is 121.
Long Statement,SpecResults.ApprovalTestSuite,TestSuiteFeature,D:\research\architectureSmells\repos1\specflowreporting_SpecFlow.Reporting\SpecResults.ApprovalTestSuite\TestSuite.feature.cs,Eating,The length of the statement  "  testRunner.Then(string.Format("I should have {0} cucumbers"' left)' ((string)(null))' ((TechTalk.SpecFlow.Table)(null))' "Then "); " is 130.
