Implementation smell,Namespace,Class,File,Method,Description
Complex Method,Exercise3,Program,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\03. Methods\Evaluated Homeworks\02\Methods\Exercise3\Exercise3\Program.cs,lastdigit,Cyclomatic complexity of the method is 11
Magic Number,Exercise3,Program,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\03. Methods\Evaluated Homeworks\02\Methods\Exercise3\Exercise3\Program.cs,lastdigit,The following statement contains a magic number: switch (lastdigit) {  case 0:  	return "null";  case 1:  	return "one";  case 2:  	return "two";  case 3:  	return "three";  case 4:  	return "four";  case 5:  	return "five";  case 6:  	return "six";  case 7:  	return "seven";  case 8:  	return "eight";  case 9:  	return "nine";  default:  	return "error";  }  
Magic Number,Exercise3,Program,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\03. Methods\Evaluated Homeworks\02\Methods\Exercise3\Exercise3\Program.cs,lastdigit,The following statement contains a magic number: switch (lastdigit) {  case 0:  	return "null";  case 1:  	return "one";  case 2:  	return "two";  case 3:  	return "three";  case 4:  	return "four";  case 5:  	return "five";  case 6:  	return "six";  case 7:  	return "seven";  case 8:  	return "eight";  case 9:  	return "nine";  default:  	return "error";  }  
Magic Number,Exercise3,Program,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\03. Methods\Evaluated Homeworks\02\Methods\Exercise3\Exercise3\Program.cs,lastdigit,The following statement contains a magic number: switch (lastdigit) {  case 0:  	return "null";  case 1:  	return "one";  case 2:  	return "two";  case 3:  	return "three";  case 4:  	return "four";  case 5:  	return "five";  case 6:  	return "six";  case 7:  	return "seven";  case 8:  	return "eight";  case 9:  	return "nine";  default:  	return "error";  }  
Magic Number,Exercise3,Program,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\03. Methods\Evaluated Homeworks\02\Methods\Exercise3\Exercise3\Program.cs,lastdigit,The following statement contains a magic number: switch (lastdigit) {  case 0:  	return "null";  case 1:  	return "one";  case 2:  	return "two";  case 3:  	return "three";  case 4:  	return "four";  case 5:  	return "five";  case 6:  	return "six";  case 7:  	return "seven";  case 8:  	return "eight";  case 9:  	return "nine";  default:  	return "error";  }  
Magic Number,Exercise3,Program,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\03. Methods\Evaluated Homeworks\02\Methods\Exercise3\Exercise3\Program.cs,lastdigit,The following statement contains a magic number: switch (lastdigit) {  case 0:  	return "null";  case 1:  	return "one";  case 2:  	return "two";  case 3:  	return "three";  case 4:  	return "four";  case 5:  	return "five";  case 6:  	return "six";  case 7:  	return "seven";  case 8:  	return "eight";  case 9:  	return "nine";  default:  	return "error";  }  
Magic Number,Exercise3,Program,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\03. Methods\Evaluated Homeworks\02\Methods\Exercise3\Exercise3\Program.cs,lastdigit,The following statement contains a magic number: switch (lastdigit) {  case 0:  	return "null";  case 1:  	return "one";  case 2:  	return "two";  case 3:  	return "three";  case 4:  	return "four";  case 5:  	return "five";  case 6:  	return "six";  case 7:  	return "seven";  case 8:  	return "eight";  case 9:  	return "nine";  default:  	return "error";  }  
Magic Number,Exercise3,Program,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\03. Methods\Evaluated Homeworks\02\Methods\Exercise3\Exercise3\Program.cs,lastdigit,The following statement contains a magic number: switch (lastdigit) {  case 0:  	return "null";  case 1:  	return "one";  case 2:  	return "two";  case 3:  	return "three";  case 4:  	return "four";  case 5:  	return "five";  case 6:  	return "six";  case 7:  	return "seven";  case 8:  	return "eight";  case 9:  	return "nine";  default:  	return "error";  }  
Magic Number,Exercise3,Program,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\03. Methods\Evaluated Homeworks\02\Methods\Exercise3\Exercise3\Program.cs,lastdigit,The following statement contains a magic number: switch (lastdigit) {  case 0:  	return "null";  case 1:  	return "one";  case 2:  	return "two";  case 3:  	return "three";  case 4:  	return "four";  case 5:  	return "five";  case 6:  	return "six";  case 7:  	return "seven";  case 8:  	return "eight";  case 9:  	return "nine";  default:  	return "error";  }  
