Design smell,Namespace,Class,File,Cause
Unnecessary Abstraction,Restaurant,Carrot,C:\repos\pdrosos_TelerikAcademy\High-Quality Code\6. Using Control Structures, Conditional Statements and Loops\Homework\Restaurant\Carrot.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,Restaurant,Potato,C:\repos\pdrosos_TelerikAcademy\High-Quality Code\6. Using Control Structures, Conditional Statements and Loops\Homework\Restaurant\Potato.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
Unnecessary Abstraction,Restaurant,Vegetable,C:\repos\pdrosos_TelerikAcademy\High-Quality Code\6. Using Control Structures, Conditional Statements and Loops\Homework\Restaurant\Vegetable.cs,The tool detected the smell in this class because the class contains only a few data members without any method implementation' that indicates that the abstraction might not be required. Following fields and properties are declared in this class: 
