Implementation smell,Namespace,Class,File,Method,Description
Long Statement,task2_FindMax,Task2,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\03. Methods\Evaluated Homeworks\01\HW_Metodi\task2_FindMax\Task2.cs,Main,The length of the statement  "	//Write a method GetMax() with two parameters that returns the bigger of two integers. Write a program that reads 3 integers from the console and prints the biggest of them using the method GetMax(). " is 199.
Magic Number,task2_FindMax,Task2,C:\repos\pdrosos_TelerikAcademy\C# Fundamentals - Part II\03. Methods\Evaluated Homeworks\01\HW_Metodi\task2_FindMax\Task2.cs,GetMaxNumber,The following statement contains a magic number: for (int i = 2; i < listOfNums.Length; i++) {  	max = GetMax (max' listOfNums [i]);  }  
