Implementation smell,Namespace,Class,File,Method,Description
Magic Number,FindValue,Finder,C:\repos\pdrosos_TelerikAcademy\High-Quality Code\6. Using Control Structures, Conditional Statements and Loops\Homework\FindValue\Finder.cs,Main,The following statement contains a magic number: number = 20;  
Magic Number,FindValue,Finder,C:\repos\pdrosos_TelerikAcademy\High-Quality Code\6. Using Control Structures, Conditional Statements and Loops\Homework\FindValue\Finder.cs,IsFound,The following statement contains a magic number: for (int i = 0; i < array.Length; i++) {  	if (i % 10 == 0) {  		if (array [i] == number) {  			return true;  		}  	}  }  
Magic Number,FindValue,Finder,C:\repos\pdrosos_TelerikAcademy\High-Quality Code\6. Using Control Structures, Conditional Statements and Loops\Homework\FindValue\Finder.cs,IsFound,The following statement contains a magic number: if (i % 10 == 0) {  	if (array [i] == number) {  		return true;  	}  }  
