Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DataTreeListView,1,0,8,0,0,191,0,0,1,-1,1,1
OLVDataObject,4,6,4,0,4,128,7,0,0,0.33,2,3
ClustersFromGroupsStrategy,0,2,0,0,2,37,3,0,1,-1,1,1
DateTimePortion,0,0,0,0,0,31,0,0,0,-1,0,1
DateTimeClusteringStrategy,2,5,2,0,4,114,6,0,1,0.8,2,1
FlagClusteringStrategy,2,6,2,0,5,125,21,0,1,0.67,2,0
TextMatchFilter,6,10,9,0,9,567,25,0,1,0.8,1,3
ObjectListView,154,348,175,8,144,10009,1040,2,0,0.9,59,57
GroupingParameters,12,1,12,0,1,176,1,0,0,0,1,1
NullableDictionary,2,1,2,0,1,48,1,0,0,0,0,2
OLVListItem,6,4,11,0,4,239,6,0,0,0.5,3,2
OLVListSubItem,7,2,8,0,2,130,2,0,0,1,1,3
HitTestLocation,0,0,0,0,0,54,0,0,0,-1,0,5
HitTestLocationEx,0,0,0,0,0,85,0,0,0,-1,0,1
OlvListViewHitTestInfo,10,4,9,4,3,199,17,0,0,0,1,1
TreeDataSourceAdapter,7,12,5,0,1,248,21,0,1,0.25,1,1
OLVColumn,55,22,65,0,21,1555,37,0,0,0.5,7,16
GraphicAdornment,6,7,6,0,5,237,24,2,0,0.71,0,0
ImageAdornment,2,5,2,0,4,158,9,2,1,0,0,0
TextAdornment,11,5,16,0,2,303,13,2,1,0.4,0,0
OLVColumnAttribute,29,2,24,0,2,331,2,0,0,1,0,1
OLVChildrenAttribute,0,0,0,0,0,7,0,0,0,-1,0,1
OLVIgnoreAttribute,0,0,0,0,0,7,0,0,0,-1,0,2
ComboBoxItem,2,2,1,0,2,37,2,0,0,0,0,1
AutoCompleteCellEditor,0,1,0,0,1,27,3,0,0,-1,1,0
EnumCellEditor,0,1,0,0,1,20,3,0,0,-1,0,1
IntUpDown,0,1,1,0,1,27,1,0,0,-1,0,0
UintUpDown,0,1,1,0,1,24,1,0,0,-1,0,0
BooleanCellEditor,0,1,0,0,1,19,1,0,0,-1,0,0
BooleanCellEditor2,0,0,2,0,0,58,0,0,0,-1,0,1
FloatCellEditor,0,1,1,0,1,30,1,0,0,-1,0,0
EditorRegistry,3,8,0,0,6,143,10,0,0,0.38,3,1
DataListView,1,4,4,0,3,142,4,0,1,1,1,0
DataSourceAdapter,7,28,5,0,3,529,61,1,0,0.11,3,2
IDecoration,0,0,2,0,0,21,0,3,1,-1,0,1
AbstractDecoration,2,1,4,0,1,67,1,2,2,0,1,0
TintedColumnDecoration,3,3,2,0,3,96,5,0,3,1,2,1
BorderDecoration,7,7,7,0,4,193,13,4,3,0.43,1,0
RowBorderDecoration,2,1,2,0,0,54,5,0,4,0,0,0
CellBorderDecoration,0,1,0,0,0,14,1,0,4,-1,0,0
EditingCellBorderDecoration,1,3,1,0,3,83,8,0,4,1,1,0
LightBoxDecoration,0,2,0,0,2,44,6,0,4,-1,1,0
ImageDecoration,2,6,2,0,6,93,6,0,2,0.5,1,0
TextDecoration,2,6,2,0,6,93,6,0,2,0.5,1,0
IDragSource,0,3,0,0,0,34,3,2,0,-1,1,1
AbstractDragSource,0,3,0,0,3,36,3,0,1,-1,1,0
SimpleDragSource,1,6,1,0,5,97,7,0,1,0.83,2,0
IDropSink,0,7,1,0,0,62,7,1,0,-1,1,1
AbstractDropSink,1,8,1,0,7,103,8,1,1,0.75,1,0
DropTargetLocation,0,0,0,0,0,45,0,0,0,-1,0,3
SimpleDropSink,14,26,22,0,8,792,83,1,2,0.15,4,0
RearrangingDropSink,0,5,0,0,3,99,18,0,3,-1,1,0
