Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,Neo4jClient.Migrations,Migrator,C:\repos\danielsilva_Neo4jClient.Migrations\src\Neo4jClient.Migrations\Migrator.cs,MigrateUpTo,The method has 6 parameters.
Long Parameter List,Neo4jClient.Migrations,Migrator,C:\repos\danielsilva_Neo4jClient.Migrations\src\Neo4jClient.Migrations\Migrator.cs,MigrateDownTo,The method has 7 parameters.
Long Statement,Neo4jClient.Migrations,Migrator,C:\repos\danielsilva_Neo4jClient.Migrations\src\Neo4jClient.Migrations\Migrator.cs,GetMigrations,The length of the statement  "			throw new InvalidOperationException (string.Format ("The Migration attribute for migration {0} is missing"' metadata.type.FullName)); " is 133.
Long Statement,Neo4jClient.Migrations,Migrator,C:\repos\danielsilva_Neo4jClient.Migrations\src\Neo4jClient.Migrations\Migrator.cs,EnsureCanMigrate,The length of the statement  "		throw new ArgumentException (string.Format ("Migration {0} not defined. Omit the toVersion parameter to migrate to the latest version (actually: {1})."' toVersion' migrations.Max (t => t.Key))); " is 194.
Long Statement,Neo4jClient.Migrations,Migrator,C:\repos\danielsilva_Neo4jClient.Migrations\src\Neo4jClient.Migrations\Migrator.cs,MigrateUpTo,The length of the statement  "	var migrationsToRun = migrations.Where (m => !appliedVersions.Contains (m.Key) && m.Key <= toVersion).OrderBy (m => m.Key).Select (m => MigrationInfo.New (m.Key' m.Value)); " is 172.
Long Statement,Neo4jClient.Migrations,Migrator,C:\repos\danielsilva_Neo4jClient.Migrations\src\Neo4jClient.Migrations\Migrator.cs,MigrateDownTo,The length of the statement  "	var migrationsToRun = appliedMigrations.Where (m => appliedVersions.Contains (m.Version) && m.Version > toVersion).OrderByDescending (m => m.Version).ToArray (); " is 161.
Long Statement,Neo4jClient.Migrations,Migrator,C:\repos\danielsilva_Neo4jClient.Migrations\src\Neo4jClient.Migrations\Migrator.cs,MigrateDownTo,The length of the statement  "		graphClient.Cypher.Match ("(m:MigrationInfo)").Where ((MigrationInfo m) => m.Id == migrationInfo.Id).Delete ("m").ExecuteWithoutResults (); " is 139.
