Implementation smell,Namespace,Class,File,Method,Description
Long Parameter List,uComponents.Core,Xml,D:\research\architectureSmells\repos\uComponents_uComponents\src\uComponents.Core\Helper-Xml.cs,Split,The method has 5 parameters. Parameters: xml' data' separator' rootName' elementName
Long Statement,uComponents.Core,Resolvers,D:\research\architectureSmells\repos\uComponents_uComponents\src\uComponents.Core\Helper-Resolvers.cs,GetPropertyValueConverters,The length of the statement  "				foreach (var type in assemblies.SelectMany(x => x.GetTypes()).Where(x => typeof(IPropertyEditorValueConverter).IsAssignableFrom(x) && x.IsClass)) " is 145.
Long Statement,uComponents.Core,IO,D:\research\architectureSmells\repos\uComponents_uComponents\src\uComponents.Core\Helper-IO.cs,GetAssemblyNames,The length of the statement  "				assemblies.AddRange(Directory.GetFiles(Umbraco.Core.IO.IOHelper.MapPath("~/bin")' "*.dll").Select(fileName => fileName.Substring(fileName.LastIndexOf('\\') + 1))); " is 163.
