Namespace,Type,Method,LOC,CC,PC
TestStack.ConventionTests.Autofac,AutofacRegistrations,AutofacRegistrations,3,1,1
TestStack.ConventionTests.Autofac,AutofacRegistrations,GetConcreteType,9,4,1
TestStack.ConventionTests.Autofac,AutofacRegistrations,GetLifetime,19,6,1
TestStack.ConventionTests.Autofac,AutofacRegistrations,GetRegistrationCtorParameters,7,2,1
TestStack.ConventionTests.Autofac,CanResolveAllRegisteredServices,CanResolveAllRegisteredServices,3,1,1
TestStack.ConventionTests.Autofac,CanResolveAllRegisteredServices,Execute,18,2,2
TestStack.ConventionTests.Autofac,CanResolveAllRegisteredServices,GetGenericFactoryTypes,5,1,2
TestStack.ConventionTests.Autofac,ServicesShouldOnlyHaveDependenciesWithLesserLifetime,Execute,23,5,2
