Project,Unnecessary Abstraction,Imperative Abstraction,Multifaceted Abstraction,Unutilized Abstraction,Duplicate Abstraction,Deficient Encapsulation,Unexloited Encapsulation,Broken Modularization,Insufficient Modularization,Hub-like Modularization,Cyclically-dependent Modularization,Wide Hierarchy,Deep Hierarchy,Multipath Hierarchy,Cyclic Hierarchy,Rebellious Hierarchy,Unfactored Hierarchy,Missing Hierarchy,Broken Hierarchy
0V_Face-Exchanger,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x10c-crap_inorganic,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
111WARLOCK111_WARBOT-V4,4,1,2,5,19,10,0,1,9,0,67,1,0,0,0,0,0,0,2
24_channelServer,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2Bmetro_IVLE,53,20,27,26,55,6,0,4,149,7,417,3,0,0,50,22,4,8,13
2moveit_keymaster,21,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2nfro_dotNet,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42Spikes_F2S,23,1,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3
7bitex_Carousel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a-delrio_FaceMouse-en,1,0,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
aapr_reservas-vuelo-tarea,6,1,5,6,43,3,0,0,0,0,12,0,0,0,0,0,0,0,0
AaronLenoir_blog-example-code,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaubry_YamlDotNet.Dynamic,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
abb-iss_codequeries,0,0,2,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0
AbbasNaqvi_Projects,43,14,9,21,4,35,0,19,5,0,14,0,0,0,0,0,0,0,1
Abc-Arbitrage_Zebus.Samples,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abdurrachman-habibi_ToshlNet,6,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
abeloin_MediaBrowser.IsoMounting.Linux,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
aBothe_dcompletion-server,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aburdaky_list9,2,0,0,12,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0
Accela-Inc_CivicDataFrontEnd-DotNet,6,0,0,2,0,0,0,6,3,0,1,0,0,0,0,0,0,1,0
achoraev_Projects,24,3,3,17,0,7,0,4,0,0,16,1,0,0,0,3,1,0,0
achvaicer_DynDnsUpdater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acropolium_Rest4Net,61,3,1,7,2,9,0,25,2,0,3,0,0,0,0,0,0,0,4
activescott_libmspack4n,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
adaladam_LogsZipper,4,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
adalbertus_BudgetPlanner,18,4,12,52,17,1,3,9,10,0,47,2,0,0,0,2,0,2,13
adamk33n3r_L10NSharp,6,5,7,11,2,13,0,0,11,0,27,0,0,0,0,1,1,0,1
AdamRakaska_EditLabel,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adaptiv_tdd-dotnet-laborationer,1,0,0,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adesbro_PinPayments-dotnet,14,0,0,12,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0
adescre_ordr.in,11,0,0,12,5,0,0,19,0,0,0,0,0,0,0,0,4,0,0
adform_SqlScripter,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Afr0_Simslib,20,7,3,21,5,41,0,10,1,0,0,1,0,0,0,0,0,0,0
