Project,No of Types,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,FAN-OUT,FAN-IN
0V_Face-Exchanger,11,21,44,24,2,33,802,76,2,2,3.19,9,9
0x10c-crap_inorganic,4,4,8,5,1,3,339,82,0,0,0.65,3,3
111WARLOCK111_WARBOT-V4,70,222,507,185,17,408,8560,1103,34,37,9.02,127,127
24_channelServer,15,2,15,32,0,12,617,45,0,0,0,18,18
2Bmetro_IVLE,721,1332,5854,1726,223,3462,103979,16927,325,344,190.9,2747,2747
2moveit_keymaster,39,38,66,33,28,34,1044,123,8,6,3,49,49
2nfro_dotNet,24,12,34,18,7,15,427,61,3,3,0,6,6
42Spikes_F2S,96,88,181,107,41,107,2359,246,34,50,14.62,73,73
7bitex_Carousel,5,7,21,4,0,2,275,32,0,0,0.85,2,2
a-delrio_FaceMouse-en,7,73,38,9,7,15,1164,92,0,0,3.16,5,5
aapr_reservas-vuelo-tarea,37,152,326,125,2,123,9149,696,0,0,21.27,69,69
AaronLenoir_blog-example-code,4,0,7,0,0,6,68,7,0,0,0,3,3
aaubry_YamlDotNet.Dynamic,3,11,32,2,0,15,407,85,0,0,0.91,2,2
abb-iss_codequeries,12,22,106,26,0,54,1365,267,1,1,3.87,22,22
AbbasNaqvi_Projects,258,639,913,410,88,343,22473,2740,19,20,46.44,288,307
Abc-Arbitrage_Zebus.Samples,17,15,23,1,3,8,249,34,4,4,0,14,14
abdurrachman-habibi_ToshlNet,17,5,35,32,0,33,572,67,1,1,0.83,18,18
abeloin_MediaBrowser.IsoMounting.Linux,2,9,13,6,0,6,240,28,0,0,1.26,2,2
aBothe_dcompletion-server,3,4,5,0,0,4,108,7,0,0,0.5,1,1
aburdaky_list9,26,2,70,60,0,48,878,82,10,7,1.33,14,14
Accela-Inc_CivicDataFrontEnd-DotNet,29,21,88,131,0,77,2383,172,4,4,3.25,36,36
achoraev_Projects,85,103,200,219,29,132,3670,420,28,42,18.18,111,112
achvaicer_DynDnsUpdater,3,6,12,0,1,2,128,26,0,0,1,2,2
acropolium_Rest4Net,152,273,268,374,40,183,5147,456,66,79,22.84,157,157
activescott_libmspack4n,5,11,23,12,0,7,619,42,0,0,1.32,6,6
adaladam_LogsZipper,16,9,142,10,1,111,1709,342,2,2,1.36,16,16
adalbertus_BudgetPlanner,194,389,1240,761,70,575,17899,2314,62,58,57.13,520,520
adamk33n3r_L10NSharp,73,193,579,188,64,259,12301,1393,10,10,22.22,122,122
AdamRakaska_EditLabel,1,4,16,5,0,4,228,34,0,0,0.98,0,0
adaptiv_tdd-dotnet-laborationer,70,127,234,9,17,192,2079,254,2,2,16.26,90,90
adesbro_PinPayments-dotnet,31,2,57,103,0,38,1070,88,1,1,0.93,19,19
adescre_ordr.in,34,17,45,206,6,32,2676,103,9,9,3.19,18,18
adform_SqlScripter,40,37,78,6,0,64,672,103,50,29,1.83,93,93
