LOC,TotalImplSmells,TotalDesignSmells,ImplSmellDensity,DesignSmellDensity,,,
802,15,5,18.7032419,6.234413965,,,
339,21,5,61.94690265,14.74926254,,Impl,0.3183667
8560,169,121,19.74299065,14.13551402,,design,-0.07051977
617,24,6,38.89789303,9.724473258,,,
103979,2893,864,27.82292578,8.309370161,,,
1044,13,36,12.45210728,34.48275862,,,
427,23,25,53.86416862,58.54800937,,,
2359,69,58,29.24968207,24.58668928,,,
275,13,1,47.27272727,3.636363636,,,
1164,66,9,56.70103093,7.731958763,,,
9149,441,76,48.20198929,8.306918789,,,
68,0,0,0,0,,,
407,5,5,12.28501229,12.28501229,,,
1365,41,11,30.03663004,8.058608059,,,
22473,1578,165,70.21759445,7.342143906,,,
249,13,5,52.20883534,20.08032129,,,
572,4,14,6.993006993,24.47552448,,,
240,5,1,20.83333333,4.166666667,,,
108,3,4,27.77777778,37.03703704,,,
878,19,21,21.64009112,23.91799544,,,
2383,6,19,2.517834662,7.973143097,,,
3670,85,79,23.16076294,21.52588556,,,
128,5,0,39.0625,0,,,
5147,252,117,48.96055955,22.73168836,,,
619,11,3,17.77059774,4.846526656,,,
1709,31,10,18.13926273,5.851375073,,,
17899,464,192,25.92323593,10.72685625,,,
12301,516,85,41.94780912,6.910007316,,,
228,1,2,4.385964912,8.771929825,,,
2079,30,38,14.43001443,18.27801828,,,
1070,7,35,6.542056075,32.71028037,,,
2676,23,51,8.594917788,19.05829596,,,
672,21,2,31.25,2.976190476,,,
7968,1339,109,168.0471888,13.67971888,,,
175187,4018,1220,22.93549179,6.963987054,,,
505,8,14,15.84158416,27.72277228,,,
19,0,1,0,52.63157895,,,
42511,3034,590,71.36976312,13.87876079,,,
113,4,7,35.39823009,61.94690265,,,
340,8,3,23.52941176,8.823529412,,,
1697,27,25,15.91043017,14.73187979,,,
6725,254,100,37.76951673,14.86988848,,,
159,18,0,113.2075472,0,,,
2079,1567,26,753.7277537,12.50601251,,,
2706,743,23,274.5750185,8.499630451,,,
1837,254,11,138.2689167,5.988023952,,,
1248,107,4,85.73717949,3.205128205,,,
355,9,3,25.35211268,8.450704225,,,
6424,938,24,146.014944,3.735990037,,,
516,14,31,27.13178295,60.07751938,,,
221,1,1,4.524886878,4.524886878,,,
1200,16,14,13.33333333,11.66666667,,,
10250,129,108,12.58536585,10.53658537,,,
308,2,3,6.493506494,9.74025974,,,
1216,14,13,11.51315789,10.69078947,,,
398,22,4,55.27638191,10.05025126,,,
3514,169,18,48.09334092,5.122367672,,,
718,21,3,29.24791086,4.178272981,,,
3622,169,22,46.65930425,6.073992269,,,
1068,12,8,11.23595506,7.490636704,,,
55964,5522,454,98.67057394,8.112357944,,,
19637,534,198,27.19356317,10.08300657,,,
95,0,1,0,10.52631579,,,
24926,2700,201,108.3206291,8.063869052,,,
1321,15,20,11.35503407,15.14004542,,,
1727,27,8,15.63404748,4.632310365,,,
1025,68,15,66.34146341,14.63414634,,,
69,1,0,14.49275362,0,,,
5767,1346,52,233.3969135,9.016819837,,,
202,3,0,14.85148515,0,,,
